"Phenotype_Evidence_ID","Template_ID","Candidate_Origin","Mechanism_Event_ID","State_Envelope_ID","Start_Interval_Index","End_Interval_Index","Start_u","End_u","N_ISIs","N_Spikes","Duration_u","Internal_Median_ISI_u","Flank_Median_ISI_u","Median_Contrast","Mean_Rate_Ratio","Internal_CV","Compactness","Evidence_Score","Left_Flank_N_Used","Right_Flank_N_Used","Flank_Pattern","Flank_Source_Contract","Phenotype_Label","Phenotype_Threshold_Set_ID","Phenotype_Threshold_Purpose","Phenotype_Null_Context","Phenotype_Null_Flank_Pattern","Phenotype_Null_Window_N_ISIs","Ambiguity_Reason","Mechanism_Estimand_Role","Phenotype_Estimand_Eligibility"
"PHENO_0034","TPL_007","injected_rate_pulse","TPL_007_EVENT_006","none",106,110,51.4776319926439,52.1103044196911,5,6,0.63267242704712,0.114134050124766,0.251941779512783,2.20741995256781,2.53803715273672,0.513859981053728,0.570056185184489,1.95203491894008,0,4,"right_only","same_generator_run_non_event_intervals_only","ambiguous_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N05","injected_support","standalone_burst","right_only",5,"score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0035","TPL_007","injected_rate_pulse","TPL_007_EVENT_007","TPL_007_STATE_005",134,138,60.2545691456225,60.7239889355755,5,6,0.469419789953039,0.0708341861126218,0.240809486246488,3.39962240638462,2.90288232101092,0.429723882006856,0.509560968678619,2.95965035822859,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N05","injected_support","burst_in_hfs","both_sides",5,"none","injected_burst","eligible"
"PHENO_0036","TPL_008","injected_rate_pulse","TPL_008_EVENT_002","none",27,32,16.5247640845265,17.3660092686881,6,7,0.841245184161623,0.127536397139951,0.326042224380883,2.55646412861343,2.30623415290992,0.366633091679218,0.541273223917862,2.47139324474184,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N06","injected_support","standalone_burst","left_only",6,"none","injected_burst","eligible"
"PHENO_0037","TPL_008","injected_rate_pulse","TPL_008_EVENT_003","none",34,40,17.8520449058265,18.6193381859118,7,8,0.767293280085318,0.114383778354355,0.361722879456633,3.16236169726824,5.41378861618914,0.383588203178082,0.379020355259578,3.42998254016973,0,3,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N07","injected_support","standalone_burst","right_only",7,"none","injected_burst","eligible"
"PHENO_0038","TPL_008","injected_rate_pulse","TPL_008_EVENT_004","TPL_008_STATE_002",57,62,25.5058922389027,25.9820936891826,6,7,0.476201450279929,0.0821874035466745,0.274926548653196,3.34511782571479,3.46134535947532,0.271243128679171,0.322794763767758,3.24105358459494,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N06","injected_support","burst_in_hfs","both_sides",6,"none","injected_burst","eligible"
"PHENO_0039","TPL_008","injected_rate_pulse","TPL_008_EVENT_006","TPL_008_STATE_003",94,96,40.0137137473504,40.1150593146007,3,4,0.10134556725032,0.0384577123268057,0.141023349233891,3.66697186862036,5.4280704546776,0.300729854482512,0.280871675490374,2.64339125144597,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N03","injected_support","burst_in_hfs","both_sides",3,"none","injected_burst","eligible"
"PHENO_0040","TPL_008","injected_rate_pulse","TPL_008_EVENT_008","none",163,167,67.1785336446966,67.8836285121172,5,6,0.705094867420593,0.105944182259229,0.472986904951958,4.46449153569029,4.80361156882201,0.521424335655772,0.414145385939512,3.68570460063652,4,3,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N05","injected_support","standalone_burst","both_sides",5,"none","injected_burst","eligible"
"PHENO_0041","TPL_009","injected_rate_pulse","TPL_009_EVENT_001","TPL_009_STATE_001",21,27,7.90291505978776,8.31900333784503,7,8,0.416088278057263,0.0492519510102154,0.238120667045427,4.83474587628088,4.71573134692028,0.379155837269997,0.288854134763725,4.51906092062389,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N07","injected_support","burst_in_hfs","both_sides",7,"none","injected_burst","eligible"
"PHENO_0042","TPL_009","injected_rate_pulse","TPL_009_EVENT_003","none",59,65,25.8369288535356,26.6099282048484,7,8,0.772999351312795,0.111592137134705,0.295151000044455,2.64490857172287,4.88116735982081,0.273500411159762,0.417705673548215,2.94235035041934,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N07","injected_support","standalone_burst","both_sides",7,"none","injected_burst","eligible"
"PHENO_0043","TPL_009","injected_rate_pulse","TPL_009_EVENT_004","none",107,114,41.3576017728445,42.2308427947061,8,9,0.873241021861694,0.114702891289219,0.316197082894558,2.75666183598876,3.15840194433147,0.422350864583978,0.435064236356282,3.11336445675765,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N08","injected_support","standalone_burst","left_only",8,"none","injected_burst","eligible"
"PHENO_0044","TPL_009","injected_rate_pulse","TPL_009_EVENT_005","none",116,121,42.7112881857856,43.4120028229409,6,7,0.700714637155324,0.0843098658993644,0.453380208626466,5.37754631430251,3.45214438537213,0.800309629763948,0.279997760262751,4.35032844273027,0,4,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N06","injected_support","standalone_burst","right_only",6,"none","injected_burst","eligible"
"PHENO_0045","TPL_009","injected_rate_pulse","TPL_009_EVENT_007","TPL_009_STATE_005",147,151,56.5815068722245,57.2410546013102,5,6,0.659547729085688,0.123740346598958,0.302202396710318,2.44223008110487,2.36277525713981,0.501357668945227,0.536746694538791,2.1614344663915,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N05","injected_support","burst_in_hfs","both_sides",5,"none","injected_burst","eligible"
"PHENO_0046","TPL_010","injected_rate_pulse","TPL_010_EVENT_002","none",19,21,15.1577902805039,15.6319926082639,3,4,0.474202327759996,0.131879268506483,0.594007243076928,4.50417453633152,6.12383544339354,0.311749584640325,0.291906349267747,3.02861669789332,3,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N03","injected_support","standalone_burst","left_only",3,"none","injected_burst","eligible"
"PHENO_0047","TPL_010","injected_rate_pulse","TPL_010_EVENT_003","none",23,30,16.1052845931668,16.9172596760954,8,9,0.811975082928593,0.0860016637398937,0.542265958751869,6.3052961439434,6.10291198769786,0.443057722912925,0.245311328438843,5.61612298369111,0,4,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N08","injected_support","standalone_burst","right_only",8,"none","injected_burst","eligible"
"PHENO_0048","TPL_010","injected_rate_pulse","TPL_010_EVENT_005","none",85,88,48.9854770137106,49.448056777399,4,5,0.462579763688409,0.113811985194061,0.455122136722717,3.99889463264074,4.90268819540311,0.397872309214243,0.30117740535363,3.12969464775764,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N04","injected_support","standalone_burst","both_sides",4,"none","injected_burst","eligible"
"PHENO_0049","TPL_010","injected_rate_pulse","TPL_010_EVENT_006","TPL_010_STATE_004",105,110,56.6739133657238,57.1624862130772,6,7,0.488572847353349,0.08367582493917,0.199951121980825,2.38959247938318,3.40571982235823,0.357335067668598,0.501335420289215,2.40443703590706,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N06","injected_support","burst_in_hfs","both_sides",6,"none","injected_burst","eligible"
"PHENO_0050","TPL_010","injected_rate_pulse","TPL_010_EVENT_008","TPL_010_STATE_005",136,141,69.5721990311662,70.2610608444757,6,7,0.688861813309473,0.0998520720344351,0.282715584929063,2.83134419916259,2.57007633279461,0.58250281979134,0.470303909187461,2.7270439402631,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N06","injected_support","burst_in_hfs","both_sides",6,"none","injected_burst","eligible"
"PHENO_0051","TPL_011","injected_rate_pulse","TPL_011_EVENT_002","TPL_011_STATE_001",18,24,9.45617673730222,10.1659544252118,7,8,0.709777687909548,0.10572042926027,0.213125732218739,2.01593706826569,2.92940382395841,0.232468200215007,0.527181352784265,2.10034717789297,4,4,"both_sides","same_generator_run_non_event_intervals_only","ambiguous_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N07","injected_support","burst_in_hfs","both_sides",7,"score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0052","TPL_011","injected_rate_pulse","TPL_011_EVENT_003","TPL_011_STATE_002",49,55,16.4905434604477,17.1804830189633,7,8,0.68993955851555,0.0948094991443549,0.229813439647218,2.42394951688658,2.72182513682189,0.322943813614729,0.501865802553348,2.5605748425947,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N07","injected_support","burst_in_hfs","both_sides",7,"none","injected_burst","eligible"
"PHENO_0053","TPL_011","injected_rate_pulse","TPL_011_EVENT_004","none",92,98,31.6575935697495,32.4913772293442,7,8,0.833783659594745,0.119480439809468,0.434448867231267,3.63615055254292,4.07123798086076,0.489289995056682,0.378124691249471,3.7175258317129,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N07","injected_support","standalone_burst","both_sides",7,"none","injected_burst","eligible"
"PHENO_0054","TPL_011","injected_rate_pulse","TPL_011_EVENT_006","none",153,156,58.9614471748536,59.5893483037008,4,5,0.627901128847125,0.150287123438733,0.414424912119802,2.7575543575345,2.95037115928918,0.387272415778561,0.455780834785998,2.26044387234003,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N04","injected_support","standalone_burst","left_only",4,"none","injected_burst","eligible"
"PHENO_0055","TPL_011","injected_rate_pulse","TPL_011_EVENT_007","none",158,162,60.1566883998812,60.6352194478596,5,6,0.478531047978396,0.101908078404673,0.557038930759294,5.46609198681301,8.28254364585693,0.394114419196019,0.208365340635695,4.28723047020066,0,3,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N05","injected_support","standalone_burst","right_only",5,"none","injected_burst","eligible"
"PHENO_0056","TPL_012","injected_rate_pulse","TPL_012_EVENT_003","none",60,64,36.3868237889012,36.9951045137611,5,6,0.608280724859949,0.0887133958507436,0.581888497738673,6.55919539725066,5.24831658908029,0.777234294139445,0.152499603470216,4.54250199075616,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N05","injected_support","standalone_burst","both_sides",5,"none","injected_burst","eligible"
"PHENO_0057","TPL_012","injected_rate_pulse","TPL_012_EVENT_004","none",79,84,44.8811108955335,45.591152089845,6,7,0.710041194311464,0.117851222573388,0.382412234727382,3.24487286917408,2.71580409294155,0.374900611907315,0.38090833963009,3.09551796753846,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N06","injected_support","standalone_burst","left_only",6,"none","injected_burst","eligible"
