File,SHA256,Purpose
metadata/generator_parameters.json,b8ccd526d723883420f51499353b49c20e663926979ff2d2d18c0f31e7f8a7aa,parameters_and_provenance
metadata/generator_parameters.yaml,38aadc18ebff1b4c0f1ddcf1718de0bbdb929a9767ff0e968c6e06bc0899dc1c,parameters_and_provenance
metadata/generator_parameters.csv,8dfd6c703d7072ca523bf6d0429cd4dc3d3f61b8cf1a942c9efd1719865a12a9,parameters_and_provenance
metadata/frozen_burst_quota.csv,0acd8f539eb34b9da5f5a960cf96bb93a8b4305ec898cc6d48aac8868eb86d19,parameters_and_provenance
metadata/frozen_overlap_quota.csv,890c35368a79eb7d51a85cfe730a4a9083ebf2fe71173c8a98603ab459a7b211,parameters_and_provenance
metadata/phenotype_thresholds.csv,87db5e8c863ee1bb7c5050238fafe1d6e540ab41ecd9a6782f875ec373104050,parameters_and_provenance
metadata/component_rng_registry.csv,7bdb6b78c84d006ceaa57e9ae8bac4f7ed58057a89947e1a1cf5df0ecd5e8f1c,parameters_and_provenance
metadata/holdout_audit_provenance.json,499a73948d0b09476591570070cb9845742f1104c2f86a93ee0381c127cdee2b,parameters_and_provenance
metadata/reproduction_manifest.json,f146575576fc61649126df174b9b6901a38b85e4e412afa7ba2b4c3c35233559,parameters_and_provenance
metadata/canonical_output_checksums_sha256.csv,8c8df6dbe230715a6fb830171ad4307ec399c835d66e362320384726cca99f23,parameters_and_provenance
metadata/template_manifest.csv,01112e5fbd262d20ec2f2a29bc056175f3394acf669498e992ae8bcdf2e3edfb,parameters_and_provenance
detector_inputs/spike_timestamps_blinded.csv,2e3d314884c9153ab0e3a3a82003c827d7f94cea189bcf7e30e4b1d9a86d7742,detector_input
detector_inputs/spike_timestamps_blinded.xlsx,a3c63f87359b31c473fe8e08536c2c6bae026a29f595f0793ba5302a62a0c1af,detector_input
tables/dimensionless_spike_templates.csv,6f2c8663193d595098660d09e9b625198da53e363682d78d490d8e82c6a34cc2,truth_and_calibration
tables/dimensionless_interval_templates.csv,b96249e4b0fff2a65de0e8074ee87912d1aaccd38a16e9a4d4af060ee9180585,truth_and_calibration
truth/sample_template_scale_key.csv,3e64ace25070642de7e03462ec93f91abf17bda89dd1332a840278097f5bf17e,truth_and_calibration
truth/interval_truth_multitrack.csv,ac886aa2b1fb67b9cd648119f4e9ac46775aec266ee0a8416895559262a34b0e,truth_and_calibration
truth/primary_event_episodes.csv,88f24749a51797f9439ba9bedf0548cf8b889efeb630110189006f26b590b967,truth_and_calibration
truth/state_envelopes.csv,00833fe15fbfcec2ec9b51e1fdc3d07ce16cee278404ae44a742985f615947d0,truth_and_calibration
truth/phenotype_sensitivity_masks.csv,7339e43aa54c593d0c0ab8380f653236f943cbde59145f367da7ab0ac8f79e60,truth_and_calibration
truth/observable_burst_positive_episodes.csv,22e7e0988fccb187f8918ad5015c9f898cbccf33b8e45bf997dfeac016b23d46,truth_and_calibration
truth/null_model_burst_like_excursions.csv,1120e648788c6d93be22138791aff8f07867efe0bd51d872c5e4b7debb2fb5ef,truth_and_calibration
truth/contextual_separator_secondary_episodes.csv,9c1cded9b88e35ad6861ec4da797ec878fe16c9a17d0fcf9f9ba2f47ed91301d,truth_and_calibration
truth/borderline_gap_secondary_episodes.csv,983740bebfd5841472ede2d5a86e1acadc7433f075198691ca2a97c091eb07cb,truth_and_calibration
truth/composite_hfs_regimes.csv,e51feaeab73b496c00727fb0a61d09fef9ba50af76c5d21d12a79ac7c79e66e9,truth_and_calibration
calibration/calibration_same_episode_ids_all_scales.csv,7d3aed7b0f4e7fd496ac708d4772e985cfc1a7eb36f6237ba420b98468828b32,truth_and_calibration
qc/single_isi_dev_holdout_baseline.csv,1fa8b1649864daccd537dc8f10f1016514c545848f3065b9c2457ad04deb98ed,quality_control
qc/structural_contract_audit.csv,d59a651cbf7730357e667c355ab6160ff75eefb5e87edcbc6255cf34eb4859a4,quality_control
qc/overlap_contract_audit.csv,6618330704503fb5babfc330c08179c94b3d5a40fd8bed37855d3d0e0a532034,quality_control
qc/figures/all_dimensionless_templates_multitrack.png,af63fc4427ebb86110f30f9552fa509c77e4ee0f4cb59bf80719dee63e05b696,locally_rendered_R_figure
qc/figures/paired_scale_multitrack_overview.png,b50c8fab7aec3b9dcec11a9f9a33cea3b51c9faa537ab407372ec3adc4de8c7e,locally_rendered_R_figure
qc/figures/phenotype_evidence_audit.png,1d1fe7ef3524cd4aeb56669d8bd71e3282e87c8ca2d3d1f91de1281c7520c100,locally_rendered_R_figure
qc/figures/dimensionless_isi_overlap_ecdf.png,52a3ca6c07ed2d861ec3dc0ebeac861bf89dbbea705bf6f18a08085d1749987b,locally_rendered_R_figure
qc/figures/hfs_burst_quota_balance.png,7127a19d4e97d365ef4f99ecb2f6623ddcd0d27a054f02c61d0fa468c1842ec1,locally_rendered_R_figure
reference/Spike_train_simulator_V13_5_0_HF_modes.R,d2f70619fd2aee504bcb929fd2854cd7c3ca2499f86d8689779a81d59366a713,provenance_reference
reference/v1_generate_benchmark_spike_trains.R,4b59c87c1ce53e2288df18fa84c8545ba3643112f37483ff3e861c684369d7fb,provenance_reference
