"Template_ID","Left_Burst_Event_ID","Contextual_Separator_ID","Right_Burst_Event_ID","Left_Local_Median_ISI_u","Right_Local_Median_ISI_u","Separator_ISI_u","Primary_Pause_Truth","Secondary_Scoring_Target","Sample_ID","Scale_Factor","B_s","Split","Left_Local_Median_ISI_s","Right_Local_Median_ISI_s","Separator_ISI_s"
"TPL_007","TPL_007_EVENT_005","TPL_007_SEPARATOR_001","TPL_007_EVENT_006",0.183679979358085,0.114134050124766,0.644784193639727,FALSE,TRUE,"S0059",1,0.1,"holdout",0.0183679979358085,0.0114134050124766,0.0644784193639727
"TPL_007","TPL_007_EVENT_005","TPL_007_SEPARATOR_001","TPL_007_EVENT_006",0.183679979358085,0.114134050124766,0.644784193639727,FALSE,TRUE,"S0041",4,0.4,"holdout",0.073471991743234,0.0456536200499064,0.257913677455891
"TPL_007","TPL_007_EVENT_005","TPL_007_SEPARATOR_001","TPL_007_EVENT_006",0.183679979358085,0.114134050124766,0.644784193639727,FALSE,TRUE,"S0043",10,1,"holdout",0.183679979358085,0.114134050124766,0.644784193639727
"TPL_008","TPL_008_EVENT_002","TPL_008_SEPARATOR_001","TPL_008_EVENT_003",0.127536397139951,0.114383778354355,0.486035637138411,FALSE,TRUE,"S0026",1,0.1,"holdout",0.0127536397139951,0.0114383778354355,0.0486035637138411
"TPL_008","TPL_008_EVENT_002","TPL_008_SEPARATOR_001","TPL_008_EVENT_003",0.127536397139951,0.114383778354355,0.486035637138411,FALSE,TRUE,"S0001",4,0.4,"holdout",0.0510145588559806,0.0457535113417421,0.194414254855365
"TPL_008","TPL_008_EVENT_002","TPL_008_SEPARATOR_001","TPL_008_EVENT_003",0.127536397139951,0.114383778354355,0.486035637138411,FALSE,TRUE,"S0054",10,1,"holdout",0.127536397139951,0.114383778354355,0.486035637138411
"TPL_009","TPL_009_EVENT_004","TPL_009_SEPARATOR_001","TPL_009_EVENT_005",0.114702891289219,0.0843098658993644,0.480445391079411,FALSE,TRUE,"S0048",1,0.1,"holdout",0.0114702891289219,0.00843098658993644,0.0480445391079411
"TPL_009","TPL_009_EVENT_004","TPL_009_SEPARATOR_001","TPL_009_EVENT_005",0.114702891289219,0.0843098658993644,0.480445391079411,FALSE,TRUE,"S0039",4,0.4,"holdout",0.0458811565156876,0.0337239463597458,0.192178156431764
"TPL_009","TPL_009_EVENT_004","TPL_009_SEPARATOR_001","TPL_009_EVENT_005",0.114702891289219,0.0843098658993644,0.480445391079411,FALSE,TRUE,"S0008",10,1,"holdout",0.114702891289219,0.0843098658993644,0.480445391079411
"TPL_010","TPL_010_EVENT_002","TPL_010_SEPARATOR_001","TPL_010_EVENT_003",0.131879268506483,0.0860016637398937,0.473291984902948,FALSE,TRUE,"S0036",1,0.1,"holdout",0.0131879268506483,0.00860016637398937,0.0473291984902948
"TPL_010","TPL_010_EVENT_002","TPL_010_SEPARATOR_001","TPL_010_EVENT_003",0.131879268506483,0.0860016637398937,0.473291984902948,FALSE,TRUE,"S0027",4,0.4,"holdout",0.0527517074025932,0.0344006654959575,0.189316793961179
"TPL_010","TPL_010_EVENT_002","TPL_010_SEPARATOR_001","TPL_010_EVENT_003",0.131879268506483,0.0860016637398937,0.473291984902948,FALSE,TRUE,"S0002",10,1,"holdout",0.131879268506483,0.0860016637398937,0.473291984902948
"TPL_011","TPL_011_EVENT_006","TPL_011_SEPARATOR_001","TPL_011_EVENT_007",0.150287123438733,0.101908078404673,0.567340096180484,FALSE,TRUE,"S0050",1,0.1,"holdout",0.0150287123438733,0.0101908078404673,0.0567340096180484
"TPL_011","TPL_011_EVENT_006","TPL_011_SEPARATOR_001","TPL_011_EVENT_007",0.150287123438733,0.101908078404673,0.567340096180484,FALSE,TRUE,"S0034",4,0.4,"holdout",0.060114849375493,0.0407632313618691,0.226936038472194
"TPL_011","TPL_011_EVENT_006","TPL_011_SEPARATOR_001","TPL_011_EVENT_007",0.150287123438733,0.101908078404673,0.567340096180484,FALSE,TRUE,"S0046",10,1,"holdout",0.150287123438733,0.101908078404673,0.567340096180484
"TPL_012","TPL_012_EVENT_004","TPL_012_SEPARATOR_001","TPL_012_EVENT_005",0.117851222573388,0.0759509076235045,0.485955063579604,FALSE,TRUE,"S0016",1,0.1,"holdout",0.0117851222573388,0.00759509076235045,0.0485955063579604
"TPL_012","TPL_012_EVENT_004","TPL_012_SEPARATOR_001","TPL_012_EVENT_005",0.117851222573388,0.0759509076235045,0.485955063579604,FALSE,TRUE,"S0031",4,0.4,"holdout",0.0471404890293551,0.0303803630494018,0.194382025431842
"TPL_012","TPL_012_EVENT_004","TPL_012_SEPARATOR_001","TPL_012_EVENT_005",0.117851222573388,0.0759509076235045,0.485955063579604,FALSE,TRUE,"S0057",10,1,"holdout",0.117851222573388,0.0759509076235045,0.485955063579604
"TPL_013","TPL_013_EVENT_001","TPL_013_SEPARATOR_001","TPL_013_EVENT_002",0.164092614457867,0.137167465487098,0.626378123977355,FALSE,TRUE,"S0012",1,0.1,"holdout",0.0164092614457867,0.0137167465487098,0.0626378123977356
"TPL_013","TPL_013_EVENT_001","TPL_013_SEPARATOR_001","TPL_013_EVENT_002",0.164092614457867,0.137167465487098,0.626378123977355,FALSE,TRUE,"S0022",4,0.4,"holdout",0.0656370457831468,0.054866986194839,0.250551249590942
"TPL_013","TPL_013_EVENT_001","TPL_013_SEPARATOR_001","TPL_013_EVENT_002",0.164092614457867,0.137167465487098,0.626378123977355,FALSE,TRUE,"S0053",10,1,"holdout",0.164092614457867,0.137167465487098,0.626378123977355
"TPL_014","TPL_014_EVENT_007","TPL_014_SEPARATOR_001","TPL_014_EVENT_008",0.0976987153181104,0.160612124696523,0.619650979580326,FALSE,TRUE,"S0033",1,0.1,"holdout",0.00976987153181104,0.0160612124696523,0.0619650979580326
"TPL_014","TPL_014_EVENT_007","TPL_014_SEPARATOR_001","TPL_014_EVENT_008",0.0976987153181104,0.160612124696523,0.619650979580326,FALSE,TRUE,"S0051",4,0.4,"holdout",0.0390794861272441,0.0642448498786092,0.24786039183213
"TPL_014","TPL_014_EVENT_007","TPL_014_SEPARATOR_001","TPL_014_EVENT_008",0.0976987153181104,0.160612124696523,0.619650979580326,FALSE,TRUE,"S0019",10,1,"holdout",0.0976987153181104,0.160612124696523,0.619650979580326
"TPL_015","TPL_015_EVENT_006","TPL_015_SEPARATOR_001","TPL_015_EVENT_007",0.0968885525114507,0.128004310737509,0.576813411246985,FALSE,TRUE,"S0013",1,0.1,"holdout",0.00968885525114507,0.0128004310737509,0.0576813411246985
"TPL_015","TPL_015_EVENT_006","TPL_015_SEPARATOR_001","TPL_015_EVENT_007",0.0968885525114507,0.128004310737509,0.576813411246985,FALSE,TRUE,"S0038",4,0.4,"holdout",0.0387554210045803,0.0512017242950037,0.230725364498794
"TPL_015","TPL_015_EVENT_006","TPL_015_SEPARATOR_001","TPL_015_EVENT_007",0.0968885525114507,0.128004310737509,0.576813411246985,FALSE,TRUE,"S0018",10,1,"holdout",0.0968885525114507,0.128004310737509,0.576813411246985
"TPL_016","TPL_016_EVENT_001","TPL_016_SEPARATOR_001","TPL_016_EVENT_002",0.0950287085997723,0.16194258713021,0.605213697811102,FALSE,TRUE,"S0010",1,0.1,"holdout",0.00950287085997723,0.016194258713021,0.0605213697811102
"TPL_016","TPL_016_EVENT_001","TPL_016_SEPARATOR_001","TPL_016_EVENT_002",0.0950287085997723,0.16194258713021,0.605213697811102,FALSE,TRUE,"S0024",4,0.4,"holdout",0.0380114834399089,0.0647770348520841,0.242085479124441
"TPL_016","TPL_016_EVENT_001","TPL_016_SEPARATOR_001","TPL_016_EVENT_002",0.0950287085997723,0.16194258713021,0.605213697811102,FALSE,TRUE,"S0060",10,1,"holdout",0.0950287085997723,0.16194258713021,0.605213697811102
"TPL_017","TPL_017_EVENT_001","TPL_017_SEPARATOR_001","TPL_017_EVENT_002",0.121884789490969,0.145548655808184,0.602621376047045,FALSE,TRUE,"S0005",1,0.1,"holdout",0.0121884789490969,0.0145548655808184,0.0602621376047046
"TPL_017","TPL_017_EVENT_001","TPL_017_SEPARATOR_001","TPL_017_EVENT_002",0.121884789490969,0.145548655808184,0.602621376047045,FALSE,TRUE,"S0042",4,0.4,"holdout",0.0487539157963875,0.0582194623232734,0.241048550418818
"TPL_017","TPL_017_EVENT_001","TPL_017_SEPARATOR_001","TPL_017_EVENT_002",0.121884789490969,0.145548655808184,0.602621376047045,FALSE,TRUE,"S0029",10,1,"holdout",0.121884789490969,0.145548655808184,0.602621376047045
"TPL_018","TPL_018_EVENT_003","TPL_018_SEPARATOR_001","TPL_018_EVENT_004",0.105020644996601,0.15454623027208,0.6383807908751,FALSE,TRUE,"S0023",1,0.1,"holdout",0.0105020644996601,0.015454623027208,0.06383807908751
"TPL_018","TPL_018_EVENT_003","TPL_018_SEPARATOR_001","TPL_018_EVENT_004",0.105020644996601,0.15454623027208,0.6383807908751,FALSE,TRUE,"S0017",4,0.4,"holdout",0.0420082579986405,0.061818492108832,0.25535231635004
"TPL_018","TPL_018_EVENT_003","TPL_018_SEPARATOR_001","TPL_018_EVENT_004",0.105020644996601,0.15454623027208,0.6383807908751,FALSE,TRUE,"S0032",10,1,"holdout",0.105020644996601,0.15454623027208,0.6383807908751
"TPL_019","TPL_019_EVENT_006","TPL_019_SEPARATOR_001","TPL_019_EVENT_007",0.12457838732929,0.117283102723883,0.510214094724506,FALSE,TRUE,"S0047",1,0.1,"holdout",0.012457838732929,0.0117283102723883,0.0510214094724506
"TPL_019","TPL_019_EVENT_006","TPL_019_SEPARATOR_001","TPL_019_EVENT_007",0.12457838732929,0.117283102723883,0.510214094724506,FALSE,TRUE,"S0037",4,0.4,"holdout",0.049831354931716,0.0469132410895531,0.204085637889802
"TPL_019","TPL_019_EVENT_006","TPL_019_SEPARATOR_001","TPL_019_EVENT_007",0.12457838732929,0.117283102723883,0.510214094724506,FALSE,TRUE,"S0025",10,1,"holdout",0.12457838732929,0.117283102723883,0.510214094724506
"TPL_020","TPL_020_EVENT_001","TPL_020_SEPARATOR_001","TPL_020_EVENT_002",0.116230909125008,0.0887880676787567,0.544777138205245,FALSE,TRUE,"S0021",1,0.1,"holdout",0.0116230909125008,0.00887880676787567,0.0544777138205245
"TPL_020","TPL_020_EVENT_001","TPL_020_SEPARATOR_001","TPL_020_EVENT_002",0.116230909125008,0.0887880676787567,0.544777138205245,FALSE,TRUE,"S0020",4,0.4,"holdout",0.0464923636500032,0.0355152270715027,0.217910855282098
"TPL_020","TPL_020_EVENT_001","TPL_020_SEPARATOR_001","TPL_020_EVENT_002",0.116230909125008,0.0887880676787567,0.544777138205245,FALSE,TRUE,"S0003",10,1,"holdout",0.116230909125008,0.0887880676787567,0.544777138205245
