"Parameter","Value"
"broad_hfs.boundary_spikes","20 | 35"
"broad_hfs.minimum_duration_B","3"
"broad_hfs.direct_support_max_isi_B","0.45"
"broad_hfs.tolerated_interruption_max_isi_B","0.75"
"broad_hfs.maximum_tolerated_interruption_fraction","0.1"
"broad_hfs.maximum_consecutive_tolerated_interruptions","1"
"broad_hfs.regularity_regimes.regular","6 | 12"
"broad_hfs.regularity_regimes.intermediate","2.4 | 5"
"broad_hfs.regularity_regimes.irregular","0.9 | 1.8"
"burst_pulse.pulse_duration_B","0.12 | 0.9"
"burst_pulse.standard_realized_spikes","5 | 6 | 7 | 8 | 9"
"burst_pulse.boundary_realized_spikes","4"
"burst_pulse.maximum_realized_spikes","10"
"burst_pulse.pre_buffer_B","0.45 | 0.85"
"burst_pulse.post_buffer_B","0.45 | 0.85"
"burst_pulse.standalone_baseline_mean_isi_B","0.5 | 0.85"
"burst_pulse.standalone_baseline_shape","1.8 | 5"
"burst_pulse.pulse_strength_strata.weak","4 | 5.5"
"burst_pulse.pulse_strength_strata.moderate","5.5 | 8"
"burst_pulse.pulse_strength_strata.strong","8 | 12"
"canonical_pause.gap_B","2.8 | 5"
"canonical_pause.interval_count","1"
"complex_pause.isi_count","2 | 3"
"complex_pause.component_gap_B","1.6 | 3.2"
"complex_pause.minimum_total_duration_B","4.5"
"complex_pause.maximum_total_duration_B","8.5"
"contextual_separator.gap_B","0.45 | 0.65"
"contextual_separator.local_median_multiplier","3.5"
"contextual_separator.canonical_pause_lower_B","2.8"
"contextual_separator.primary_event_truth","none"
"contextual_separator.secondary_label","Contextual_Separator"
"composite_hfs_regime_templates","TPL_001 | TPL_003 | TPL_006 | TPL_008 | TPL_010 | TPL_012 | TPL_014 | TPL_016 | TPL_018 | TPL_020"
"hfs_boundary_audit.flank_isis_each_side","3"
"hfs_boundary_audit.ambiguous_contrast","1.15"
"hfs_boundary_audit.clear_contrast","1.6"
"phenotype_audit.minimum_window_isis","3"
"phenotype_audit.maximum_window_isis","9"
"phenotype_audit.flank_isis_each_side","4"
"phenotype_audit.null_surrogates","1000"
"phenotype_audit.ambiguous_quantile","0.9"
"phenotype_audit.clear_quantile","0.975"
"phenotype_audit.development_only_threshold_fit","TRUE"
"acceptance_contract.maximum_attempts_per_run","10000"
"acceptance_contract.reject_on_detector_output","FALSE"
"acceptance_contract.reject_on_visual_clarity","FALSE"
"acceptance_contract.permitted_rejection_reasons","numerical_failure | refractory_violation | frozen_spike_count_contract_failure | contextual_separator_contract_failure | state_duration_contract_failure | complex_pause_contract_failure"
