"Calibration_Row","Calibration_Mode","Episode_ID","Sample_ID","Template_ID","Scale_Factor","B_s","Start_s","End_s","Duration_s"
24,"Tonic","TPL_002_STATE_005","S0030","TPL_002",1,0.1,6.17157838292883,6.69755699529193,0.5259786123631
25,"Tonic","TPL_003_STATE_003","S0058","TPL_003",1,0.1,3.10069631999951,3.65507865861703,0.554382338617514
26,"Tonic","TPL_003_STATE_005","S0058","TPL_003",1,0.1,5.34151454309162,6.18381688220783,0.842302339116217
27,"Tonic","TPL_004_STATE_004","S0011","TPL_004",1,0.1,4.07204859619876,4.66489883476452,0.592850238565754
28,"Tonic","TPL_004_STATE_005","S0011","TPL_004",1,0.1,5.0740819259086,6.0534236553152,0.9793417294066
29,"Tonic","TPL_005_STATE_002","S0028","TPL_005",1,0.1,1.78888622958664,2.52973659313743,0.740850363550786
30,"Tonic","TPL_005_STATE_004","S0028","TPL_005",1,0.1,3.76757028514729,4.5975114445808,0.829941159433513
31,"Broad_HFS","TPL_001_STATE_004","S0015","TPL_001",1,0.1,5.18847260243601,5.90914650309211,0.720673900656092
32,"Broad_HFS","TPL_001_STATE_005","S0015","TPL_001",1,0.1,6.2628301259953,7.37933070268073,1.11650057668544
33,"Broad_HFS","TPL_002_STATE_002","S0030","TPL_002",1,0.1,1.79738281537255,2.51195003960053,0.714567224227975
34,"Broad_HFS","TPL_002_STATE_003","S0030","TPL_002",1,0.1,2.69749938740381,4.03944281286502,1.34194342546121
35,"Broad_HFS","TPL_003_STATE_001","S0058","TPL_003",1,0.1,0,0.694657580329266,0.694657580329266
36,"Broad_HFS","TPL_003_STATE_002","S0058","TPL_003",1,0.1,1.11081357124557,2.20892248882414,1.09810891757856
37,"Broad_HFS","TPL_004_STATE_002","S0011","TPL_004",1,0.1,1.33575816384346,2.17122370693582,0.835465543092363
38,"Broad_HFS","TPL_004_STATE_003","S0011","TPL_004",1,0.1,2.39546660520074,3.02366679777953,0.628200192578792
39,"Broad_HFS","TPL_005_STATE_001","S0028","TPL_005",1,0.1,0.0969133212284651,1.1826606018276,1.08574728059913
40,"Broad_HFS","TPL_005_STATE_003","S0028","TPL_005",1,0.1,2.58669115371878,3.63113496608783,1.04444381236905
41,"Burst","TPL_001_EVENT_003","S0056","TPL_001",4,0.4,12.5742746305872,12.8188716230067,0.244596992419473
42,"Burst","TPL_001_EVENT_004","S0056","TPL_001",4,0.4,13.0681902431585,13.3478516468025,0.279661403643968
43,"Burst","TPL_001_EVENT_008","S0056","TPL_001",4,0.4,26.8642877635628,27.1566918780191,0.292404114456309
44,"Burst","TPL_002_EVENT_001","S0006","TPL_002",4,0.4,5.39429804226499,5.67071890767379,0.276420865408802
45,"Burst","TPL_002_EVENT_002","S0006","TPL_002",4,0.4,7.9439090356442,8.12195368730984,0.17804465166564
46,"Burst","TPL_002_EVENT_003","S0006","TPL_002",4,0.4,11.951734395728,12.0919525867319,0.140218191003918
47,"Burst","TPL_002_EVENT_004","S0006","TPL_002",4,0.4,20.4866354548091,20.7921979214963,0.305562466687215
48,"Burst","TPL_003_EVENT_001","S0049","TPL_003",4,0.4,1.33113038208619,1.39456406341275,0.0634336813265575
49,"Burst","TPL_004_EVENT_001","S0014","TPL_004",4,0.4,4.1331633293753,4.3270141116423,0.193850782267002
50,"Burst","TPL_005_EVENT_003","S0052","TPL_005",4,0.4,11.9035217834186,11.9991070268534,0.095585243434752
51,"Pause","TPL_001_EVENT_001","S0056","TPL_001",4,0.4,5.13030441593528,6.3868210864082,1.25651667047292
52,"Pause","TPL_001_EVENT_002","S0056","TPL_001",4,0.4,9.36755569708199,11.4694185217902,2.10186282470822
53,"Pause","TPL_001_EVENT_007","S0056","TPL_001",4,0.4,23.6365860123684,25.0513205039812,1.41473449161276
54,"Pause","TPL_002_EVENT_006","S0006","TPL_002",4,0.4,22.4202170335467,24.1089756206761,1.68875858712941
55,"Pause","TPL_002_EVENT_007","S0006","TPL_002",4,0.4,26.7902279811677,28.0532474297051,1.26301944853738
56,"Pause","TPL_003_EVENT_002","S0049","TPL_003",4,0.4,2.77863032131707,4.44325428498228,1.66462396366522
57,"Pause","TPL_003_EVENT_006","S0049","TPL_003",4,0.4,14.6203146344681,15.7663879997727,1.14607336530462
58,"Pause","TPL_003_EVENT_008","S0049","TPL_003",4,0.4,24.7352675288313,26.8990672164553,2.16379968762398
59,"Pause","TPL_004_EVENT_006","S0014","TPL_004",4,0.4,18.6595953390581,20.2963277036344,1.63673236457631
60,"Pause","TPL_004_EVENT_007","S0014","TPL_004",4,0.4,24.8072199205762,26.4386349375812,1.63141501700506
61,"Tonic","TPL_001_STATE_001","S0056","TPL_001",4,0.4,0,5.13030441593528,5.13030441593528
62,"Tonic","TPL_001_STATE_002","S0056","TPL_001",4,0.4,6.60873226511336,9.36755569708199,2.75882343196863
63,"Tonic","TPL_002_STATE_004","S0006","TPL_002",4,0.4,16.5706405471546,18.9252327204809,2.3545921733262
64,"Tonic","TPL_002_STATE_005","S0006","TPL_002",4,0.4,24.6863135317153,26.7902279811677,2.1039144494524
65,"Tonic","TPL_003_STATE_003","S0049","TPL_003",4,0.4,12.4027852799981,14.6203146344681,2.21752935447006
66,"Tonic","TPL_003_STATE_005","S0049","TPL_003",4,0.4,21.3660581723665,24.7352675288313,3.36920935646487
67,"Tonic","TPL_004_STATE_004","S0014","TPL_004",4,0.4,16.2881943847951,18.6595953390581,2.37140095426302
68,"Tonic","TPL_004_STATE_005","S0014","TPL_004",4,0.4,20.2963277036344,24.2136946212608,3.9173669176264
69,"Tonic","TPL_005_STATE_002","S0052","TPL_005",4,0.4,7.15554491834657,10.1189463725497,2.96340145420314
70,"Tonic","TPL_005_STATE_004","S0052","TPL_005",4,0.4,15.0702811405891,18.3900457783232,3.31976463773405
71,"Broad_HFS","TPL_001_STATE_004","S0056","TPL_001",4,0.4,20.7538904097441,23.6365860123684,2.88269560262437
72,"Broad_HFS","TPL_001_STATE_005","S0056","TPL_001",4,0.4,25.0513205039812,29.5173228107229,4.46600230674174
73,"Broad_HFS","TPL_002_STATE_002","S0006","TPL_002",4,0.4,7.1895312614902,10.0478001584021,2.8582688969119
74,"Broad_HFS","TPL_002_STATE_003","S0006","TPL_002",4,0.4,10.7899975496152,16.1577712514601,5.36777370184484
75,"Broad_HFS","TPL_003_STATE_001","S0049","TPL_003",4,0.4,0,2.77863032131707,2.77863032131707
76,"Broad_HFS","TPL_003_STATE_002","S0049","TPL_003",4,0.4,4.44325428498228,8.83568995529654,4.39243567031426
77,"Broad_HFS","TPL_004_STATE_002","S0014","TPL_004",4,0.4,5.34303265537384,8.68489482774329,3.34186217236945
78,"Broad_HFS","TPL_004_STATE_003","S0014","TPL_004",4,0.4,9.58186642080297,12.0946671911181,2.51280077031517
79,"Broad_HFS","TPL_005_STATE_001","S0052","TPL_005",4,0.4,0.38765328491386,4.73064240731039,4.34298912239653
80,"Broad_HFS","TPL_005_STATE_003","S0052","TPL_005",4,0.4,10.3467646148751,14.5245398643513,4.1777752494762
81,"Burst","TPL_001_EVENT_003","S0007","TPL_001",10,1,31.4356865764681,32.0471790575168,0.611492481048682
82,"Burst","TPL_001_EVENT_004","S0007","TPL_001",10,1,32.6704756078963,33.3696291170062,0.69915350910992
83,"Burst","TPL_001_EVENT_008","S0007","TPL_001",10,1,67.160719408907,67.8917296950478,0.731010286140773
84,"Burst","TPL_002_EVENT_001","S0044","TPL_002",10,1,13.4857451056625,14.1767972691845,0.691052163522004
85,"Burst","TPL_002_EVENT_002","S0044","TPL_002",10,1,19.8597725891105,20.3048842182746,0.445111629164099
86,"Burst","TPL_002_EVENT_003","S0044","TPL_002",10,1,29.8793359893199,30.2298814668297,0.350545477509794
87,"Burst","TPL_002_EVENT_004","S0044","TPL_002",10,1,51.2165886370228,51.9804948037409,0.763906166718037
88,"Burst","TPL_003_EVENT_001","S0040","TPL_003",10,1,3.32782595521548,3.48641015853187,0.158584203316394
89,"Burst","TPL_004_EVENT_001","S0055","TPL_004",10,1,10.3329083234382,10.8175352791057,0.484626955667505
90,"Burst","TPL_005_EVENT_003","S0009","TPL_005",10,1,29.7588044585466,29.9977675671335,0.23896310858688
91,"Pause","TPL_001_EVENT_001","S0007","TPL_001",10,1,12.8257610398382,15.9670527160205,3.1412916761823
92,"Pause","TPL_001_EVENT_002","S0007","TPL_001",10,1,23.418889242705,28.6735463044755,5.25465706177056
93,"Pause","TPL_001_EVENT_007","S0007","TPL_001",10,1,59.0914650309211,62.628301259953,3.53683622903191
94,"Pause","TPL_002_EVENT_006","S0044","TPL_002",10,1,56.0505425838668,60.2724390516903,4.22189646782353
95,"Pause","TPL_002_EVENT_007","S0044","TPL_002",10,1,66.9755699529193,70.1331185742627,3.15754862134345
96,"Pause","TPL_003_EVENT_002","S0040","TPL_003",10,1,6.94657580329266,11.1081357124557,4.16155990916304
97,"Pause","TPL_003_EVENT_006","S0040","TPL_003",10,1,36.5507865861703,39.4159699994318,2.86518341326155
98,"Pause","TPL_003_EVENT_008","S0040","TPL_003",10,1,61.8381688220783,67.2476680411383,5.40949921905994
99,"Pause","TPL_004_EVENT_006","S0055","TPL_004",10,1,46.6489883476452,50.7408192590859,4.09183091144077
100,"Pause","TPL_004_EVENT_007","S0055","TPL_004",10,1,62.0180498014404,66.0965873439531,4.07853754251264
101,"Tonic","TPL_001_STATE_001","S0007","TPL_001",10,1,0,12.8257610398382,12.8257610398382
102,"Tonic","TPL_001_STATE_002","S0007","TPL_001",10,1,16.5218306627834,23.418889242705,6.89705857992156
103,"Tonic","TPL_002_STATE_004","S0044","TPL_002",10,1,41.4266013678866,47.3130818012021,5.8864804333155
104,"Tonic","TPL_002_STATE_005","S0044","TPL_002",10,1,61.7157838292883,66.9755699529193,5.259786123631
105,"Tonic","TPL_003_STATE_003","S0040","TPL_003",10,1,31.0069631999951,36.5507865861703,5.54382338617514
106,"Tonic","TPL_003_STATE_005","S0040","TPL_003",10,1,53.4151454309161,61.8381688220783,8.42302339116217
107,"Tonic","TPL_004_STATE_004","S0055","TPL_004",10,1,40.7204859619876,46.6489883476452,5.92850238565754
108,"Tonic","TPL_004_STATE_005","S0055","TPL_004",10,1,50.7408192590859,60.534236553152,9.793417294066
109,"Tonic","TPL_005_STATE_002","S0009","TPL_005",10,1,17.8888622958664,25.2973659313743,7.40850363550786
110,"Tonic","TPL_005_STATE_004","S0009","TPL_005",10,1,37.6757028514729,45.975114445808,8.29941159433513
111,"Broad_HFS","TPL_001_STATE_004","S0007","TPL_001",10,1,51.8847260243601,59.0914650309211,7.20673900656092
112,"Broad_HFS","TPL_001_STATE_005","S0007","TPL_001",10,1,62.628301259953,73.7933070268073,11.1650057668544
113,"Broad_HFS","TPL_002_STATE_002","S0044","TPL_002",10,1,17.9738281537255,25.1195003960053,7.14567224227975
114,"Broad_HFS","TPL_002_STATE_003","S0044","TPL_002",10,1,26.9749938740381,40.3944281286502,13.4194342546121
115,"Broad_HFS","TPL_003_STATE_001","S0040","TPL_003",10,1,0,6.94657580329266,6.94657580329266
116,"Broad_HFS","TPL_003_STATE_002","S0040","TPL_003",10,1,11.1081357124557,22.0892248882414,10.9810891757856
117,"Broad_HFS","TPL_004_STATE_002","S0055","TPL_004",10,1,13.3575816384346,21.7122370693582,8.35465543092362
118,"Broad_HFS","TPL_004_STATE_003","S0055","TPL_004",10,1,23.9546660520074,30.2366679777953,6.28200192578792
119,"Broad_HFS","TPL_005_STATE_001","S0009","TPL_005",10,1,0.969133212284651,11.826606018276,10.8574728059913
120,"Broad_HFS","TPL_005_STATE_003","S0009","TPL_005",10,1,25.8669115371878,36.3113496608783,10.4444381236905
