"Split","Rate_Overlap_Stratum","Regularity","Contains_Injected_Burst","Start_Boundary_Observability","End_Boundary_Observability","Freq","Audit_Domain"
"holdout","deep","irregular","FALSE","clear","ambiguous",1,"Broad_HFS"
"development","boundary","regular","FALSE","clear","ambiguous",0,"Broad_HFS"
"holdout","boundary","regular","FALSE","clear","ambiguous",1,"Broad_HFS"
"development","core","regular","FALSE","clear","ambiguous",0,"Broad_HFS"
"holdout","core","regular","FALSE","clear","ambiguous",1,"Broad_HFS"
"development","deep","regular","FALSE","clear","ambiguous",0,"Broad_HFS"
"holdout","deep","regular","FALSE","clear","ambiguous",1,"Broad_HFS"
"development","boundary","intermediate","TRUE","clear","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","clear","ambiguous",0,"Broad_HFS"
"development","core","intermediate","TRUE","clear","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","TRUE","clear","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","TRUE","clear","ambiguous",0,"Broad_HFS"
"holdout","deep","intermediate","TRUE","clear","ambiguous",1,"Broad_HFS"
"development","boundary","irregular","TRUE","clear","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","TRUE","clear","ambiguous",0,"Broad_HFS"
"development","core","irregular","TRUE","clear","ambiguous",0,"Broad_HFS"
"holdout","core","irregular","TRUE","clear","ambiguous",0,"Broad_HFS"
"development","deep","irregular","TRUE","clear","ambiguous",0,"Broad_HFS"
"holdout","deep","irregular","TRUE","clear","ambiguous",0,"Broad_HFS"
"development","boundary","regular","TRUE","clear","ambiguous",0,"Broad_HFS"
"holdout","boundary","regular","TRUE","clear","ambiguous",0,"Broad_HFS"
"development","core","regular","TRUE","clear","ambiguous",0,"Broad_HFS"
"holdout","core","regular","TRUE","clear","ambiguous",0,"Broad_HFS"
"development","deep","regular","TRUE","clear","ambiguous",0,"Broad_HFS"
"holdout","deep","regular","TRUE","clear","ambiguous",0,"Broad_HFS"
"development","boundary","intermediate","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","core","intermediate","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","boundary","irregular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","core","irregular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","core","irregular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","deep","irregular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","deep","irregular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","boundary","regular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","boundary","regular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","core","regular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","core","regular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","deep","regular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","deep","regular","FALSE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","boundary","intermediate","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","core","intermediate","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","deep","intermediate","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","boundary","irregular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","TRUE","hard_cut_canonical_pause","ambiguous",1,"Broad_HFS"
"development","core","irregular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","core","irregular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","deep","irregular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","deep","irregular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","boundary","regular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","boundary","regular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","core","regular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"holdout","core","regular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","deep","regular","TRUE","hard_cut_canonical_pause","ambiguous",1,"Broad_HFS"
"holdout","deep","regular","TRUE","hard_cut_canonical_pause","ambiguous",0,"Broad_HFS"
"development","boundary","intermediate","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"development","core","intermediate","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"development","boundary","irregular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"development","core","irregular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","core","irregular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"development","deep","irregular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","deep","irregular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"development","boundary","regular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","boundary","regular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"development","core","regular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","core","regular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"development","deep","regular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","deep","regular","FALSE","no_evidence","ambiguous",0,"Broad_HFS"
"development","boundary","intermediate","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"development","core","intermediate","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","TRUE","no_evidence","ambiguous",2,"Broad_HFS"
"holdout","deep","intermediate","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"development","boundary","irregular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"development","core","irregular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","core","irregular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"development","deep","irregular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","deep","irregular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"development","boundary","regular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","boundary","regular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"development","core","regular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","core","regular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"development","deep","regular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"holdout","deep","regular","TRUE","no_evidence","ambiguous",0,"Broad_HFS"
"development","boundary","intermediate","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","core","intermediate","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","boundary","irregular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","core","irregular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","core","irregular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","deep","irregular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","deep","irregular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","boundary","regular","FALSE","recording_edge_unobservable","ambiguous",1,"Broad_HFS"
"holdout","boundary","regular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","core","regular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","core","regular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","deep","regular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","deep","regular","FALSE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","boundary","intermediate","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","core","intermediate","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","deep","intermediate","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","boundary","irregular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","core","irregular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","core","irregular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","deep","irregular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","deep","irregular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","boundary","regular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","boundary","regular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","core","regular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","core","regular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","deep","regular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"holdout","deep","regular","TRUE","recording_edge_unobservable","ambiguous",0,"Broad_HFS"
"development","boundary","intermediate","FALSE","ambiguous","clear",0,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","ambiguous","clear",0,"Broad_HFS"
"development","core","intermediate","FALSE","ambiguous","clear",0,"Broad_HFS"
"holdout","core","intermediate","FALSE","ambiguous","clear",1,"Broad_HFS"
"development","deep","intermediate","FALSE","ambiguous","clear",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","ambiguous","clear",0,"Broad_HFS"
"development","boundary","irregular","FALSE","ambiguous","clear",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","ambiguous","clear",0,"Broad_HFS"
"development","core","irregular","FALSE","ambiguous","clear",0,"Broad_HFS"
"holdout","core","irregular","FALSE","ambiguous","clear",0,"Broad_HFS"
"development","deep","irregular","FALSE","ambiguous","clear",0,"Broad_HFS"
"holdout","deep","irregular","FALSE","ambiguous","clear",0,"Broad_HFS"
"development","boundary","regular","FALSE","ambiguous","clear",0,"Broad_HFS"
"holdout","boundary","regular","FALSE","ambiguous","clear",0,"Broad_HFS"
"development","core","regular","FALSE","ambiguous","clear",0,"Broad_HFS"
"holdout","core","regular","FALSE","ambiguous","clear",0,"Broad_HFS"
"development","deep","regular","FALSE","ambiguous","clear",0,"Broad_HFS"
"holdout","deep","regular","FALSE","ambiguous","clear",0,"Broad_HFS"
"development","boundary","intermediate","TRUE","ambiguous","clear",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","ambiguous","clear",0,"Broad_HFS"
"development","core","intermediate","TRUE","ambiguous","clear",0,"Broad_HFS"
"holdout","core","intermediate","TRUE","ambiguous","clear",0,"Broad_HFS"
"development","deep","intermediate","TRUE","ambiguous","clear",0,"Broad_HFS"
"holdout","deep","intermediate","TRUE","ambiguous","clear",0,"Broad_HFS"
"development","boundary","irregular","TRUE","ambiguous","clear",0,"Broad_HFS"
"holdout","boundary","irregular","TRUE","ambiguous","clear",1,"Broad_HFS"
"development","core","irregular","TRUE","ambiguous","clear",0,"Broad_HFS"
"holdout","core","irregular","TRUE","ambiguous","clear",0,"Broad_HFS"
"development","deep","irregular","TRUE","ambiguous","clear",0,"Broad_HFS"
"holdout","deep","irregular","TRUE","ambiguous","clear",0,"Broad_HFS"
"development","boundary","regular","TRUE","ambiguous","clear",0,"Broad_HFS"
"holdout","boundary","regular","TRUE","ambiguous","clear",0,"Broad_HFS"
"development","core","regular","TRUE","ambiguous","clear",0,"Broad_HFS"
"holdout","core","regular","TRUE","ambiguous","clear",0,"Broad_HFS"
"development","deep","regular","TRUE","ambiguous","clear",0,"Broad_HFS"
"holdout","deep","regular","TRUE","ambiguous","clear",0,"Broad_HFS"
"development","boundary","intermediate","FALSE","clear","clear",0,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","clear","clear",1,"Broad_HFS"
"development","core","intermediate","FALSE","clear","clear",1,"Broad_HFS"
"holdout","core","intermediate","FALSE","clear","clear",2,"Broad_HFS"
"development","deep","intermediate","FALSE","clear","clear",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","clear","clear",0,"Broad_HFS"
"development","boundary","irregular","FALSE","clear","clear",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","clear","clear",0,"Broad_HFS"
"development","core","irregular","FALSE","clear","clear",0,"Broad_HFS"
"holdout","core","irregular","FALSE","clear","clear",2,"Broad_HFS"
"development","deep","irregular","FALSE","clear","clear",1,"Broad_HFS"
"holdout","deep","irregular","FALSE","clear","clear",1,"Broad_HFS"
"development","boundary","regular","FALSE","clear","clear",0,"Broad_HFS"
"holdout","boundary","regular","FALSE","clear","clear",0,"Broad_HFS"
"development","core","regular","FALSE","clear","clear",0,"Broad_HFS"
"holdout","core","regular","FALSE","clear","clear",1,"Broad_HFS"
"development","deep","regular","FALSE","clear","clear",0,"Broad_HFS"
"holdout","deep","regular","FALSE","clear","clear",0,"Broad_HFS"
"development","boundary","intermediate","TRUE","clear","clear",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","clear","clear",2,"Broad_HFS"
"development","core","intermediate","TRUE","clear","clear",0,"Broad_HFS"
"holdout","core","intermediate","TRUE","clear","clear",0,"Broad_HFS"
"development","deep","intermediate","TRUE","clear","clear",0,"Broad_HFS"
"holdout","deep","intermediate","TRUE","clear","clear",0,"Broad_HFS"
"development","boundary","irregular","TRUE","clear","clear",0,"Broad_HFS"
"holdout","boundary","irregular","TRUE","clear","clear",0,"Broad_HFS"
"development","core","irregular","TRUE","clear","clear",1,"Broad_HFS"
"holdout","core","irregular","TRUE","clear","clear",1,"Broad_HFS"
"development","deep","irregular","TRUE","clear","clear",1,"Broad_HFS"
"holdout","deep","irregular","TRUE","clear","clear",1,"Broad_HFS"
"development","boundary","regular","TRUE","clear","clear",0,"Broad_HFS"
"holdout","boundary","regular","TRUE","clear","clear",0,"Broad_HFS"
"development","core","regular","TRUE","clear","clear",1,"Broad_HFS"
"holdout","core","regular","TRUE","clear","clear",1,"Broad_HFS"
"development","deep","regular","TRUE","clear","clear",0,"Broad_HFS"
"holdout","deep","regular","TRUE","clear","clear",0,"Broad_HFS"
"development","boundary","intermediate","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","core","intermediate","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","core","intermediate","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","deep","intermediate","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","boundary","irregular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","core","irregular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","core","irregular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","deep","irregular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","deep","irregular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","boundary","regular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","boundary","regular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","core","regular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","core","regular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","deep","regular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","deep","regular","FALSE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","boundary","intermediate","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","core","intermediate","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","core","intermediate","TRUE","hard_cut_canonical_pause","clear",1,"Broad_HFS"
"development","deep","intermediate","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","deep","intermediate","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","boundary","irregular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","boundary","irregular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","core","irregular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","core","irregular","TRUE","hard_cut_canonical_pause","clear",1,"Broad_HFS"
"development","deep","irregular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","deep","irregular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","boundary","regular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","boundary","regular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","core","regular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","core","regular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","deep","regular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"holdout","deep","regular","TRUE","hard_cut_canonical_pause","clear",0,"Broad_HFS"
"development","boundary","intermediate","FALSE","no_evidence","clear",0,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","no_evidence","clear",0,"Broad_HFS"
"development","core","intermediate","FALSE","no_evidence","clear",0,"Broad_HFS"
"holdout","core","intermediate","FALSE","no_evidence","clear",0,"Broad_HFS"
"development","deep","intermediate","FALSE","no_evidence","clear",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","no_evidence","clear",0,"Broad_HFS"
"development","boundary","irregular","FALSE","no_evidence","clear",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","no_evidence","clear",0,"Broad_HFS"
"development","core","irregular","FALSE","no_evidence","clear",0,"Broad_HFS"
"holdout","core","irregular","FALSE","no_evidence","clear",0,"Broad_HFS"
"development","deep","irregular","FALSE","no_evidence","clear",0,"Broad_HFS"
"holdout","deep","irregular","FALSE","no_evidence","clear",0,"Broad_HFS"
"development","boundary","regular","FALSE","no_evidence","clear",0,"Broad_HFS"
"holdout","boundary","regular","FALSE","no_evidence","clear",1,"Broad_HFS"
"development","core","regular","FALSE","no_evidence","clear",0,"Broad_HFS"
"holdout","core","regular","FALSE","no_evidence","clear",0,"Broad_HFS"
"development","deep","regular","FALSE","no_evidence","clear",0,"Broad_HFS"
"holdout","deep","regular","FALSE","no_evidence","clear",0,"Broad_HFS"
"development","boundary","intermediate","TRUE","no_evidence","clear",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","no_evidence","clear",0,"Broad_HFS"
"development","core","intermediate","TRUE","no_evidence","clear",0,"Broad_HFS"
"holdout","core","intermediate","TRUE","no_evidence","clear",0,"Broad_HFS"
"development","deep","intermediate","TRUE","no_evidence","clear",0,"Broad_HFS"
"holdout","deep","intermediate","TRUE","no_evidence","clear",0,"Broad_HFS"
"development","boundary","irregular","TRUE","no_evidence","clear",0,"Broad_HFS"
"holdout","boundary","irregular","TRUE","no_evidence","clear",0,"Broad_HFS"
"development","core","irregular","TRUE","no_evidence","clear",0,"Broad_HFS"
"holdout","core","irregular","TRUE","no_evidence","clear",0,"Broad_HFS"
"development","deep","irregular","TRUE","no_evidence","clear",0,"Broad_HFS"
"holdout","deep","irregular","TRUE","no_evidence","clear",0,"Broad_HFS"
"development","boundary","regular","TRUE","no_evidence","clear",0,"Broad_HFS"
"holdout","boundary","regular","TRUE","no_evidence","clear",0,"Broad_HFS"
"development","core","regular","TRUE","no_evidence","clear",0,"Broad_HFS"
"holdout","core","regular","TRUE","no_evidence","clear",0,"Broad_HFS"
"development","deep","regular","TRUE","no_evidence","clear",0,"Broad_HFS"
"holdout","deep","regular","TRUE","no_evidence","clear",1,"Broad_HFS"
"development","boundary","intermediate","FALSE","recording_edge_unobservable","clear",1,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"development","core","intermediate","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"holdout","core","intermediate","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"development","deep","intermediate","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"development","boundary","irregular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","recording_edge_unobservable","clear",1,"Broad_HFS"
"development","core","irregular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"holdout","core","irregular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"development","deep","irregular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"holdout","deep","irregular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"development","boundary","regular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"holdout","boundary","regular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"development","core","regular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"holdout","core","regular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"development","deep","regular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"holdout","deep","regular","FALSE","recording_edge_unobservable","clear",0,"Broad_HFS"
"development","boundary","intermediate","TRUE","recording_edge_unobservable","clear",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","recording_edge_unobservable","clear",0,"Broad_HFS"
