"Split","Context","Strength","HFS_Regularity","Phenotype","Freq","Audit_Domain"
"development","burst_in_hfs","moderate","not_applicable","clear_burst_like",0,"Burst"
"holdout","burst_in_hfs","moderate","not_applicable","clear_burst_like",0,"Burst"
"development","standalone_burst","moderate","not_applicable","clear_burst_like",5,"Burst"
"holdout","standalone_burst","moderate","not_applicable","clear_burst_like",13,"Burst"
"development","burst_in_hfs","strong","not_applicable","clear_burst_like",0,"Burst"
"holdout","burst_in_hfs","strong","not_applicable","clear_burst_like",0,"Burst"
"development","standalone_burst","strong","not_applicable","clear_burst_like",5,"Burst"
"holdout","standalone_burst","strong","not_applicable","clear_burst_like",15,"Burst"
"development","burst_in_hfs","weak","not_applicable","clear_burst_like",0,"Burst"
"holdout","burst_in_hfs","weak","not_applicable","clear_burst_like",0,"Burst"
"development","standalone_burst","weak","not_applicable","clear_burst_like",5,"Burst"
"holdout","standalone_burst","weak","not_applicable","clear_burst_like",15,"Burst"
"development","burst_in_hfs","moderate","regular","clear_burst_like",2,"Burst"
"holdout","burst_in_hfs","moderate","regular","clear_burst_like",3,"Burst"
"development","standalone_burst","moderate","regular","clear_burst_like",0,"Burst"
"holdout","standalone_burst","moderate","regular","clear_burst_like",0,"Burst"
"development","burst_in_hfs","strong","regular","clear_burst_like",1,"Burst"
"holdout","burst_in_hfs","strong","regular","clear_burst_like",3,"Burst"
"development","standalone_burst","strong","regular","clear_burst_like",0,"Burst"
"holdout","standalone_burst","strong","regular","clear_burst_like",0,"Burst"
"development","burst_in_hfs","weak","regular","clear_burst_like",1,"Burst"
"holdout","burst_in_hfs","weak","regular","clear_burst_like",3,"Burst"
"development","standalone_burst","weak","regular","clear_burst_like",0,"Burst"
"holdout","standalone_burst","weak","regular","clear_burst_like",0,"Burst"
"development","burst_in_hfs","moderate","intermediate","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","moderate","intermediate","no_burst_evidence",0,"Burst"
"development","standalone_burst","moderate","intermediate","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","moderate","intermediate","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","strong","intermediate","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","strong","intermediate","no_burst_evidence",0,"Burst"
"development","standalone_burst","strong","intermediate","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","strong","intermediate","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","weak","intermediate","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","weak","intermediate","no_burst_evidence",0,"Burst"
"development","standalone_burst","weak","intermediate","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","weak","intermediate","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","moderate","irregular","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","moderate","irregular","no_burst_evidence",1,"Burst"
"development","standalone_burst","moderate","irregular","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","moderate","irregular","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","strong","irregular","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","strong","irregular","no_burst_evidence",0,"Burst"
"development","standalone_burst","strong","irregular","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","strong","irregular","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","weak","irregular","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","weak","irregular","no_burst_evidence",0,"Burst"
"development","standalone_burst","weak","irregular","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","weak","irregular","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","moderate","not_applicable","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","moderate","not_applicable","no_burst_evidence",0,"Burst"
"development","standalone_burst","moderate","not_applicable","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","moderate","not_applicable","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","strong","not_applicable","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","strong","not_applicable","no_burst_evidence",0,"Burst"
"development","standalone_burst","strong","not_applicable","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","strong","not_applicable","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","weak","not_applicable","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","weak","not_applicable","no_burst_evidence",0,"Burst"
"development","standalone_burst","weak","not_applicable","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","weak","not_applicable","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","moderate","regular","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","moderate","regular","no_burst_evidence",0,"Burst"
"development","standalone_burst","moderate","regular","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","moderate","regular","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","strong","regular","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","strong","regular","no_burst_evidence",0,"Burst"
"development","standalone_burst","strong","regular","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","strong","regular","no_burst_evidence",0,"Burst"
"development","burst_in_hfs","weak","regular","no_burst_evidence",0,"Burst"
"holdout","burst_in_hfs","weak","regular","no_burst_evidence",0,"Burst"
"development","standalone_burst","weak","regular","no_burst_evidence",0,"Burst"
"holdout","standalone_burst","weak","regular","no_burst_evidence",0,"Burst"
