"Split","Subtype","Rate_Overlap_Stratum","Intended_Difficulty","Realized_Phenotype","Freq","Audit_Domain"
"development","stn_like_empirical","deep","ambiguous","eligible",0,"Tonic"
"holdout","stn_like_empirical","deep","ambiguous","eligible",0,"Tonic"
"development","generic_stress","boundary","eligible","eligible",1,"Tonic"
"holdout","generic_stress","boundary","eligible","eligible",2,"Tonic"
"development","stn_like_empirical","boundary","eligible","eligible",2,"Tonic"
"holdout","stn_like_empirical","boundary","eligible","eligible",2,"Tonic"
"development","generic_stress","core","eligible","eligible",1,"Tonic"
"holdout","generic_stress","core","eligible","eligible",2,"Tonic"
"development","stn_like_empirical","core","eligible","eligible",1,"Tonic"
"holdout","stn_like_empirical","core","eligible","eligible",3,"Tonic"
"development","generic_stress","deep","eligible","eligible",0,"Tonic"
"holdout","generic_stress","deep","eligible","eligible",3,"Tonic"
"development","stn_like_empirical","deep","eligible","eligible",2,"Tonic"
"holdout","stn_like_empirical","deep","eligible","eligible",2,"Tonic"
"development","generic_stress","boundary","no_evidence","eligible",0,"Tonic"
"holdout","generic_stress","boundary","no_evidence","eligible",0,"Tonic"
"development","stn_like_empirical","boundary","no_evidence","eligible",0,"Tonic"
"holdout","stn_like_empirical","boundary","no_evidence","eligible",1,"Tonic"
"development","generic_stress","core","no_evidence","eligible",0,"Tonic"
"holdout","generic_stress","core","no_evidence","eligible",1,"Tonic"
"development","stn_like_empirical","core","no_evidence","eligible",0,"Tonic"
"holdout","stn_like_empirical","core","no_evidence","eligible",0,"Tonic"
"development","generic_stress","deep","no_evidence","eligible",0,"Tonic"
"holdout","generic_stress","deep","no_evidence","eligible",0,"Tonic"
"development","stn_like_empirical","deep","no_evidence","eligible",0,"Tonic"
"holdout","stn_like_empirical","deep","no_evidence","eligible",0,"Tonic"
"development","generic_stress","boundary","ambiguous","no_evidence",0,"Tonic"
"holdout","generic_stress","boundary","ambiguous","no_evidence",1,"Tonic"
"development","stn_like_empirical","boundary","ambiguous","no_evidence",0,"Tonic"
"holdout","stn_like_empirical","boundary","ambiguous","no_evidence",0,"Tonic"
"development","generic_stress","core","ambiguous","no_evidence",0,"Tonic"
"holdout","generic_stress","core","ambiguous","no_evidence",0,"Tonic"
"development","stn_like_empirical","core","ambiguous","no_evidence",0,"Tonic"
"holdout","stn_like_empirical","core","ambiguous","no_evidence",0,"Tonic"
"development","generic_stress","deep","ambiguous","no_evidence",0,"Tonic"
"holdout","generic_stress","deep","ambiguous","no_evidence",0,"Tonic"
"development","stn_like_empirical","deep","ambiguous","no_evidence",0,"Tonic"
"holdout","stn_like_empirical","deep","ambiguous","no_evidence",0,"Tonic"
"development","generic_stress","boundary","eligible","no_evidence",0,"Tonic"
"holdout","generic_stress","boundary","eligible","no_evidence",0,"Tonic"
"development","stn_like_empirical","boundary","eligible","no_evidence",0,"Tonic"
"holdout","stn_like_empirical","boundary","eligible","no_evidence",0,"Tonic"
"development","generic_stress","core","eligible","no_evidence",0,"Tonic"
"holdout","generic_stress","core","eligible","no_evidence",0,"Tonic"
"development","stn_like_empirical","core","eligible","no_evidence",0,"Tonic"
"holdout","stn_like_empirical","core","eligible","no_evidence",0,"Tonic"
"development","generic_stress","deep","eligible","no_evidence",0,"Tonic"
"holdout","generic_stress","deep","eligible","no_evidence",0,"Tonic"
"development","stn_like_empirical","deep","eligible","no_evidence",0,"Tonic"
"holdout","stn_like_empirical","deep","eligible","no_evidence",0,"Tonic"
"development","generic_stress","boundary","no_evidence","no_evidence",0,"Tonic"
"holdout","generic_stress","boundary","no_evidence","no_evidence",1,"Tonic"
"development","stn_like_empirical","boundary","no_evidence","no_evidence",0,"Tonic"
"holdout","stn_like_empirical","boundary","no_evidence","no_evidence",0,"Tonic"
"development","generic_stress","core","no_evidence","no_evidence",0,"Tonic"
"holdout","generic_stress","core","no_evidence","no_evidence",0,"Tonic"
"development","stn_like_empirical","core","no_evidence","no_evidence",0,"Tonic"
"holdout","stn_like_empirical","core","no_evidence","no_evidence",0,"Tonic"
"development","generic_stress","deep","no_evidence","no_evidence",0,"Tonic"
"holdout","generic_stress","deep","no_evidence","no_evidence",1,"Tonic"
"development","stn_like_empirical","deep","no_evidence","no_evidence",0,"Tonic"
"holdout","stn_like_empirical","deep","no_evidence","no_evidence",0,"Tonic"
