"Template_ID","State_Envelope_ID","Regularity_Regime","HFS_Rate_Overlap_Stratum","Contains_Injected_Burst","Start_Boundary_Observability","End_Boundary_Observability","Start_Boundary_Contrast","End_Boundary_Contrast","Start_Hard_Cut_Reason","End_Hard_Cut_Reason","Composite_HFS_Regime_ID"
"TPL_012","TPL_012_STATE_005","irregular","boundary",TRUE,"hard_cut_canonical_pause","ambiguous",0.619376806226006,1.31124119560797,"canonical_pause","none","TPL_012_REGIME_01"
"TPL_013","TPL_013_STATE_002","irregular","deep",TRUE,"clear","clear",2.48779614838261,2.25964508658274,"none","none","none"
"TPL_013","TPL_013_STATE_003","intermediate","boundary",FALSE,"clear","clear",4.23125770282641,2.18236217513858,"none","none","none"
"TPL_013","TPL_013_STATE_005","regular","core",TRUE,"clear","recording_edge_unobservable",3.633284449662,,"none","none","none"
"TPL_014","TPL_014_STATE_001","regular","boundary",TRUE,"recording_edge_unobservable","hard_cut_canonical_pause",,0.690921347754976,"none","canonical_pause","TPL_014_REGIME_01"
"TPL_014","TPL_014_STATE_002","intermediate","deep",TRUE,"hard_cut_canonical_pause","no_evidence",1.49226068406773,1.0686988056024,"canonical_pause","none","TPL_014_REGIME_01"
"TPL_014","TPL_014_STATE_005","irregular","core",FALSE,"clear","clear",6.28966335898385,4.87487571813768,"none","none","none"
"TPL_015","TPL_015_STATE_001","irregular","boundary",TRUE,"recording_edge_unobservable","clear",,1.67974509013302,"none","none","none"
"TPL_015","TPL_015_STATE_002","intermediate","core",FALSE,"clear","clear",1.91408943218486,3.48063616307602,"none","none","none"
"TPL_015","TPL_015_STATE_003","regular","deep",TRUE,"no_evidence","clear",0.441003628990901,2.43046344014998,"none","none","none"
"TPL_016","TPL_016_STATE_001","irregular","deep",FALSE,"clear","clear",2.62591365360461,7.38737139236464,"none","none","none"
"TPL_016","TPL_016_STATE_004","regular","core",TRUE,"clear","hard_cut_canonical_pause",2.99509349250268,2.49218947722835,"none","canonical_pause","TPL_016_REGIME_01"
"TPL_016","TPL_016_STATE_005","intermediate","boundary",TRUE,"hard_cut_canonical_pause","recording_edge_unobservable",0.551146017306517,,"canonical_pause","none","TPL_016_REGIME_01"
"TPL_017","TPL_017_STATE_002","irregular","core",TRUE,"clear","clear",9.44098999620668,3.04660196656518,"none","none","none"
"TPL_017","TPL_017_STATE_004","regular","boundary",FALSE,"no_evidence","clear",1.14307061159814,3.72663460894498,"none","none","none"
"TPL_017","TPL_017_STATE_005","intermediate","deep",TRUE,"clear","recording_edge_unobservable",3.4043005479959,,"none","none","none"
"TPL_018","TPL_018_STATE_001","irregular","boundary",FALSE,"recording_edge_unobservable","clear",,5.59781217337077,"none","none","none"
"TPL_018","TPL_018_STATE_004","regular","deep",TRUE,"clear","hard_cut_canonical_pause",5.60405739368557,0.534947757864567,"none","canonical_pause","TPL_018_REGIME_01"
"TPL_018","TPL_018_STATE_005","intermediate","core",TRUE,"hard_cut_canonical_pause","clear",2.0293519972798,3.55593961535878,"canonical_pause","none","TPL_018_REGIME_01"
"TPL_019","TPL_019_STATE_001","irregular","deep",FALSE,"clear","ambiguous",3.39611407136755,1.21332313429076,"none","none","none"
"TPL_019","TPL_019_STATE_002","intermediate","boundary",TRUE,"clear","clear",7.48174133240446,3.90040130816784,"none","none","none"
"TPL_019","TPL_019_STATE_005","regular","core",TRUE,"clear","clear",4.09304178901424,3.23242549083716,"none","none","none"
"TPL_020","TPL_020_STATE_002","intermediate","deep",FALSE,"clear","ambiguous",4.76661576850778,1.42819444047035,"none","none","none"
"TPL_020","TPL_020_STATE_004","irregular","core",TRUE,"clear","hard_cut_canonical_pause",2.72309939443425,1.25670616238358,"none","canonical_pause","TPL_020_REGIME_01"
"TPL_020","TPL_020_STATE_005","regular","boundary",TRUE,"hard_cut_canonical_pause","recording_edge_unobservable",0.795730959179281,,"canonical_pause","none","TPL_020_REGIME_01"
