"Split","Context","Strength","N_Realized_Spikes","Phenotype","Freq"
"development","burst_in_hfs","moderate","7","no_burst_evidence",0
"holdout","burst_in_hfs","moderate","7","no_burst_evidence",0
"development","standalone_burst","moderate","7","no_burst_evidence",0
"holdout","standalone_burst","moderate","7","no_burst_evidence",0
"development","burst_in_hfs","strong","7","no_burst_evidence",0
"holdout","burst_in_hfs","strong","7","no_burst_evidence",0
"development","standalone_burst","strong","7","no_burst_evidence",0
"holdout","standalone_burst","strong","7","no_burst_evidence",0
"development","burst_in_hfs","weak","7","no_burst_evidence",0
"holdout","burst_in_hfs","weak","7","no_burst_evidence",0
"development","standalone_burst","weak","7","no_burst_evidence",0
"holdout","standalone_burst","weak","7","no_burst_evidence",0
"development","burst_in_hfs","moderate","8","no_burst_evidence",0
"holdout","burst_in_hfs","moderate","8","no_burst_evidence",0
"development","standalone_burst","moderate","8","no_burst_evidence",0
"holdout","standalone_burst","moderate","8","no_burst_evidence",0
"development","burst_in_hfs","strong","8","no_burst_evidence",0
"holdout","burst_in_hfs","strong","8","no_burst_evidence",0
"development","standalone_burst","strong","8","no_burst_evidence",0
"holdout","standalone_burst","strong","8","no_burst_evidence",0
"development","burst_in_hfs","weak","8","no_burst_evidence",0
"holdout","burst_in_hfs","weak","8","no_burst_evidence",0
"development","standalone_burst","weak","8","no_burst_evidence",0
"holdout","standalone_burst","weak","8","no_burst_evidence",0
"development","burst_in_hfs","moderate","9","no_burst_evidence",0
"holdout","burst_in_hfs","moderate","9","no_burst_evidence",0
"development","standalone_burst","moderate","9","no_burst_evidence",0
"holdout","standalone_burst","moderate","9","no_burst_evidence",0
"development","burst_in_hfs","strong","9","no_burst_evidence",0
"holdout","burst_in_hfs","strong","9","no_burst_evidence",0
"development","standalone_burst","strong","9","no_burst_evidence",0
"holdout","standalone_burst","strong","9","no_burst_evidence",0
"development","burst_in_hfs","weak","9","no_burst_evidence",0
"holdout","burst_in_hfs","weak","9","no_burst_evidence",0
"development","standalone_burst","weak","9","no_burst_evidence",0
"holdout","standalone_burst","weak","9","no_burst_evidence",0
