"Phenotype_Evidence_ID","Template_ID","Candidate_Origin","Mechanism_Event_ID","State_Envelope_ID","Start_Interval_Index","End_Interval_Index","Start_u","End_u","N_ISIs","N_Spikes","Duration_u","Internal_Median_ISI_u","Flank_Median_ISI_u","Median_Contrast","Mean_Rate_Ratio","Internal_CV","Compactness","Evidence_Score","Phenotype_Label","Ambiguity_Reason","Mechanism_Estimand_Role","Phenotype_Estimand_Eligibility"
"PHENO_0012","TPL_003","injected_rate_pulse","TPL_003_EVENT_003","none",41,46,14.9789357402461,15.303255809875,6,7,0.324320069628844,0.053681421777029,0.250911139209682,4.67407775173813,4.1721628759278,0.191397782824485,0.234505851378001,4.11516011674858,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0013","TPL_003","injected_rate_pulse","TPL_003_EVENT_005","none",76,81,33.8596064784505,34.4226938060894,6,7,0.563087327638944,0.0895858509462492,0.612182185118008,6.83346955631769,8.55001507175908,0.311488542135574,0.192261865288432,5.21284348255244,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0014","TPL_003","injected_rate_pulse","TPL_003_EVENT_006","none",83,86,35.0309840098438,35.7074947395661,4,5,0.676510729722308,0.144397998657431,0.0736167336315467,0.509818240668244,0.864430486542075,0.434462562939266,2.44578736095347,-1.42726936804673,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0015","TPL_003","injected_rate_pulse","TPL_003_EVENT_007","none",87,91,35.7074947395661,36.0713132367282,5,6,0.363818497162096,0.0637256198053964,0.144397998657431,2.26593321647384,2.04848639179539,0.320420933391305,0.567763537412932,1.97630704434326,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0016","TPL_004","injected_rate_pulse","TPL_004_EVENT_001","none",32,34,6.62192629420036,6.98518688720264,3,4,0.363260593002274,0.145303084723886,0.160545294535699,1.10489942344154,1.24835564204177,0.533520502501097,0.982231742211622,0.17488428495942,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0017","TPL_004","injected_rate_pulse","TPL_004_EVENT_002","none",44,51,8.46226527046276,8.86089694805256,8,9,0.398631677589805,0.0488500688090024,0.173043080750391,3.54233033789508,3.72466018144984,0.324381913770775,0.317621663473897,3.87365734386862,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0018","TPL_004","injected_rate_pulse","TPL_004_EVENT_004","none",82,88,19.2485018449803,19.6835422944893,7,8,0.43504044950899,0.06166747505823,0.341845045477383,5.54336050170034,4.66986571354518,0.190075871941104,0.197237578946306,4.89739108319681,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0019","TPL_004","injected_rate_pulse","TPL_004_EVENT_005","none",104,110,24.8397156610165,25.6417785721609,7,8,0.802062911144312,0.092994015423618,0.255543346050446,2.74795474618838,3.25503018996874,0.407189697253187,0.464614157643607,2.92880740310223,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0020","TPL_004","injected_rate_pulse","TPL_004_EVENT_006","none",112,119,26.1615497471542,26.9786898147968,8,9,0.817140067642592,0.0811950600086462,0.731567581845842,9.01000112282619,6.11352561600709,0.388699275853112,0.185547207326058,6.63158687841123,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0021","TPL_005","injected_rate_pulse","TPL_005_EVENT_001","none",11,14,2.57624488145115,2.81928904943961,4,5,0.243044167988466,0.0597738474350267,0.2459695278139,4.11500243616183,4.59729758763233,0.109537304580248,0.25754856863955,3.19969228431721,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0022","TPL_005","injected_rate_pulse","TPL_005_EVENT_003","none",62,64,22.6680110448079,22.7954070323993,3,4,0.127395987591395,0.0433962998287947,0.14079783625999,3.24446639034802,3.57307738994192,0.282917873271882,0.345826554712125,2.32860377228356,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0023","TPL_005","injected_rate_pulse","TPL_005_EVENT_005","none",104,107,44.1995469529638,44.8920035915922,4,5,0.69245663862833,0.16150161758628,0.487906363916506,3.02106177763731,5.86461475730979,0.647423008176899,0.443866644076449,2.58870860110313,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0024","TPL_005","injected_rate_pulse","TPL_005_EVENT_006","none",131,135,50.4665535425115,51.2886562711455,5,6,0.822102728634075,0.0979817382730135,0.0955559100773223,0.975242037562837,1.9744465659713,0.601720707959884,2.65624383935613,0.0538426451389691,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0025","TPL_005","injected_rate_pulse","TPL_005_EVENT_007","none",137,142,51.7460409886565,52.2608676450793,6,7,0.514826656422744,0.0906849284573751,0.175900767864984,1.93969131207578,2.63081184569278,0.175052414568281,0.542362644703267,1.84717548487605,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0026","TPL_006","injected_rate_pulse","TPL_006_EVENT_002","none",33,37,19.3500618314957,19.65964933091,5,6,0.309587499414313,0.0597140928791347,0.171663577778123,2.87475819360735,3.68587065647469,0.247014357607827,0.422172509008716,2.66264274779779,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0027","TPL_006","injected_rate_pulse","TPL_006_EVENT_004","none",67,72,31.0482317028796,31.4553392519102,6,7,0.407107549030624,0.0641298987021601,0.194428991212005,3.03179944373522,3.7020848768413,0.214034437843484,0.381298815890125,3.02268761820902,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0028","TPL_006","injected_rate_pulse","TPL_006_EVENT_005","none",117,119,44.2850632930887,44.7361382344434,3,4,0.451074941354708,0.175498296139703,0.121069627047789,0.689862122373045,1.06889232509113,0.31889167308097,1.47025568328238,-0.658280728363593,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0029","TPL_006","injected_rate_pulse","TPL_006_EVENT_006","none",120,127,44.7361382344434,45.4090477490908,8,9,0.672909514647361,0.082327201789428,0.132031524928854,1.60374119439353,2.10710423331402,0.349328518929246,0.70418518370504,1.48737265247619,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0030","TPL_006","injected_rate_pulse","TPL_006_EVENT_007","none",129,135,45.9175264329294,46.7042392636379,7,8,0.786712830708524,0.127037406285617,0.51017027472456,4.01590594173144,3.1907757728461,0.326182073087802,0.258798937276653,3.9357378641469,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0031","TPL_007","injected_rate_pulse","TPL_007_EVENT_001","none",27,33,9.79717306181026,10.3405375799923,7,8,0.543364518182079,0.0627643448498896,0.367175453970724,5.85006431356655,4.07849981062603,0.600678970573926,0.245678254562342,4.96495883755593,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0032","TPL_007","injected_rate_pulse","TPL_007_EVENT_002","none",49,54,15.4765839401092,15.9316007080004,6,7,0.455016767891227,0.073106556332364,0.274559243334603,3.75560356155166,3.89429735286565,0.405092648537561,0.36803124027627,3.54065392319532,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0033","TPL_007","injected_rate_pulse","TPL_007_EVENT_004","none",92,95,28.0637850327036,28.5489295781626,4,5,0.485144545459024,0.127567087681395,0.395072066036446,3.09697487978372,6.49000587428001,0.552728488899387,0.45179877473228,2.67314458969713,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0034","TPL_007","injected_rate_pulse","TPL_007_EVENT_005","none",97,101,29.0524196501857,29.5335449231488,5,6,0.481125272963104,0.0950096129160473,0.23558735688756,2.47961600575861,2.55715666057812,0.377947991812248,0.408410014419679,2.2275108214674,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0035","TPL_007","injected_rate_pulse","TPL_007_EVENT_006","none",112,119,32.2149488243097,32.6687044896764,8,9,0.453755665366691,0.0547877627796518,0.226239168226799,4.1293740928371,4.51702433534769,0.379106120659476,0.330079106929816,4.35011835277739,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0036","TPL_008","injected_rate_pulse","TPL_008_EVENT_002","none",47,53,15.2075470364964,16.0193517976682,7,8,0.811804761171806,0.107452956671928,0.164124604405189,1.52740891910764,2.17453952094547,0.204445214899688,0.762775631753212,1.29442795599871,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0037","TPL_008","injected_rate_pulse","TPL_008_EVENT_003","none",55,62,17.0013270931298,17.790707050278,8,9,0.789379957148135,0.0877485936946735,0.128535347232725,1.46481375735743,2.73215587868306,0.440895993517525,1.00583926968463,1.28687327997117,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0038","TPL_008","injected_rate_pulse","TPL_008_EVENT_004","none",64,67,18.2767426874164,18.6738787557891,4,5,0.397136068372756,0.105413948942638,0.624046310950421,5.91995952347826,5.45683919626141,0.284443824306455,0.178652535183409,3.95243227090006,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0039","TPL_008","injected_rate_pulse","TPL_008_EVENT_006","none",98,101,41.2997593289651,41.5060509556803,4,5,0.20629162671524,0.0453376329420054,0.237260702943277,5.23319563786608,4.2610900885338,0.314527934972431,0.223301871316065,3.6409726849298,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0040","TPL_008","injected_rate_pulse","TPL_008_EVENT_008","none",128,130,50.9410898432491,51.1077211193539,3,4,0.166631276104793,0.0599845163140846,0.28964987582162,4.82874404296245,5.16370580058293,0.207877760231293,0.214387991810015,3.11688949703355,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0041","TPL_009","injected_rate_pulse","TPL_009_EVENT_001","none",12,17,2.89716848776243,3.17016205793554,6,7,0.272993570173118,0.0445558945179121,0.228807739133655,5.13529672357204,5.6507572304423,0.34267810597626,0.253934187336863,4.40638191248277,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0042","TPL_009","injected_rate_pulse","TPL_009_EVENT_003","none",53,58,24.5400241298297,24.97776346302,6,7,0.437739333190338,0.0672216423451121,0.415397606104424,6.17952182679197,11.2547760810909,0.457459566845411,0.249873055538934,5.02056307749848,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0043","TPL_009","injected_rate_pulse","TPL_009_EVENT_004","none",91,97,30.732943782377,31.4183890644169,7,8,0.685445282039901,0.0973378326488696,0.163889640237719,1.6837198423035,2.23357809312228,0.193384497166026,0.636043836528906,1.5600138407488,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0044","TPL_009","injected_rate_pulse","TPL_009_EVENT_005","none",99,103,32.0427743989786,32.8213263774587,5,6,0.778551978480132,0.17708169720947,0.364719075727678,2.05960910401854,5.48762472882733,0.34079091328084,0.512811372378165,2.00714014482328,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0045","TPL_009","injected_rate_pulse","TPL_009_EVENT_007","none",128,132,46.3384419125187,46.6192440629159,5,6,0.280802150397204,0.0545187891708587,0.185709970801998,3.40634804305712,3.6568010987874,0.083667788021001,0.318288877097314,3.05639646881921,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0046","TPL_010","injected_rate_pulse","TPL_010_EVENT_002","none",21,23,13.6930326708322,14.0570683035794,3,4,0.364035632747179,0.137466147709799,0.64153004488652,4.66682201818034,7.44382287735993,0.351788155944665,0.226872567524245,3.13485405605056,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0047","TPL_010","injected_rate_pulse","TPL_010_EVENT_003","none",25,32,14.5486986560692,15.135750481815,8,9,0.587051825745735,0.0753526428212956,0.557421067927284,7.39749857545474,7.72450212534588,0.196395429194472,0.148492279335572,6.15154386621556,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0048","TPL_010","injected_rate_pulse","TPL_010_EVENT_005","none",85,88,44.9588080332413,45.3495759095543,4,5,0.390767876313037,0.103129118420049,0.215033287047819,2.08508799786283,2.49683006407557,0.508512411496663,0.54841137515746,1.64752636622679,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0049","TPL_010","injected_rate_pulse","TPL_010_EVENT_006","none",97,103,47.3453538927823,47.6834422650605,7,8,0.338088372278262,0.0500412305812001,0.205884421002601,4.11429572397344,5.45378018147377,0.244395142983408,0.278919757521069,4.14196742557149,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0050","TPL_010","injected_rate_pulse","TPL_010_EVENT_008","none",133,140,57.8734314880973,58.2066994843765,8,9,0.33326799627921,0.0456464280932745,0.263929371526887,5.78203777495077,6.30957831473575,0.35649985574689,0.195825364232619,5.38806719367663,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0051","TPL_011","injected_rate_pulse","TPL_011_EVENT_002","none",15,18,6.61811803003852,6.8340631730981,4,5,0.215945143059584,0.0560498690459306,0.137555881939711,2.45416955081535,2.95981950281778,0.426044404828712,0.521223651098416,2.02425450246946,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0052","TPL_011","injected_rate_pulse","TPL_011_EVENT_003","none",51,55,13.9172185873412,14.2390752711315,5,6,0.321856683790286,0.0615611985854416,0.205234247091793,3.33382474363207,3.02758390613184,0.197827859583498,0.331542393803676,2.94965309900902,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0053","TPL_011","injected_rate_pulse","TPL_011_EVENT_005","none",88,92,38.3219470400968,39.0511403040752,5,6,0.729193263978427,0.150020528509887,0.581920246977195,3.8789374544754,6.05975349496735,0.284627241551705,0.262395373820296,3.45308169070666,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0054","TPL_011","injected_rate_pulse","TPL_011_EVENT_006","none",133,138,50.0312105078204,50.5638154814049,6,7,0.532604973584495,0.0898304482702552,0.391664173107976,4.36003805669157,3.46517059388652,0.511611301639938,0.285012173277744,3.86635591761555,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0055","TPL_011","injected_rate_pulse","TPL_011_EVENT_007","none",140,146,51.0804877528484,51.5771671090267,7,8,0.496679356178271,0.0821154875022241,0.116600551904337,1.41995810353289,2.75247296916359,0.342805570442337,0.723679093727599,1.14651720017005,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0056","TPL_012","injected_rate_pulse","TPL_012_EVENT_003","none",61,64,33.6497405200556,34.0582207459214,4,5,0.408480225865838,0.100269057310502,0.256545710444387,2.55857307653691,2.74764021745262,0.386072638689154,0.488236267887493,2.09297776849544,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0057","TPL_012","injected_rate_pulse","TPL_012_EVENT_004","none",83,88,38.5013126467634,38.7750836682564,6,7,0.273771021492974,0.045498239739264,0.228097281879028,5.0133210248612,5.87224551453684,0.232747665929969,0.225499047162586,4.3681034318721,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0058","TPL_012","injected_rate_pulse","TPL_012_EVENT_006","none",114,116,47.4821296652172,47.6112360087785,3,4,0.129106343561348,0.0461686403961181,0.166742245043585,3.61159097632003,4.36128586623782,0.337230725514335,0.305544797245575,2.55867891584979,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0059","TPL_012","injected_rate_pulse","TPL_012_EVENT_007","none",136,140,52.3033130561695,52.6470079168816,5,6,0.34369486071203,0.0607975062306945,0.144654766327561,2.37928782438333,4.65379082855143,0.501082795370036,0.483024504181979,2.2725386776323,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0060","TPL_012","injected_rate_pulse","TPL_012_EVENT_008","none",142,149,53.1329629804612,53.9041162313044,8,9,0.771153250843222,0.0862106024596543,0.0653346515068123,0.757849378646766,1.70008981265578,0.380590414718016,1.7761696086207,-0.689628519455498,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0061","TPL_013","injected_rate_pulse","TPL_013_EVENT_001","none",1,6,0,0.689316184315184,6,7,0.689316184315184,0.117209109629598,0.0827173251691419,0.705724371002761,1.77904248110246,0.30719119264962,1.57730250977771,-0.740422248452139,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0062","TPL_013","injected_rate_pulse","TPL_013_EVENT_002","none",8,14,1.27688708385388,1.96616684319683,7,8,0.689279759342946,0.0881908251419504,0.637423461110197,7.22777522587198,6.21153510164896,0.446551764875699,0.161593878200354,5.64506110228926,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0063","TPL_013","injected_rate_pulse","TPL_013_EVENT_004","none",39,46,19.1593788904612,19.4538841402722,8,9,0.294505249811053,0.0360109751159716,0.168678548152264,4.68408721532928,4.93136177118747,0.253619465231552,0.24818802051398,4.74111717291984,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0064","TPL_013","injected_rate_pulse","TPL_013_EVENT_005","none",63,70,24.4051829977295,25.232327939528,8,9,0.827144941798536,0.104206037479549,0.283904481957064,2.7244532929561,4.14846799510532,0.310335190608909,0.416830890003064,3.1594926376015,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0065","TPL_013","injected_rate_pulse","TPL_013_EVENT_007","none",114,120,42.2313691838419,42.7167088088649,7,8,0.485339625023001,0.0651716509592557,0.336368783511905,5.16127455052808,4.96170444697446,0.33106029962853,0.260433747381015,4.70949484218721,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0066","TPL_014","injected_rate_pulse","TPL_014_EVENT_001","none",10,13,2.11262182864008,2.29280022179008,4,5,0.180178393149995,0.0429443672928638,0.227183658518272,5.29018525221173,5.00926831732113,0.250385997410573,0.220687111394416,3.7094903944125,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0067","TPL_014","injected_rate_pulse","TPL_014_EVENT_003","none",52,56,13.7150179815916,14.017575712616,5,6,0.302557731024459,0.0618433448585982,0.150870299028335,2.43955593561915,2.6739250240107,0.262571528331383,0.440939362692907,2.21379097160519,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0068","TPL_014","injected_rate_pulse","TPL_014_EVENT_006","none",117,120,46.4603622465914,47.0705144638653,4,5,0.61015221727391,0.159290720319299,0.285841071672434,1.79446154238906,1.98108403644563,0.521677994621718,0.678517605268593,1.2881532486549,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0069","TPL_014","injected_rate_pulse","TPL_014_EVENT_007","none",122,126,47.7177451691683,48.2617304438592,5,6,0.543985274690914,0.115811637864494,0.157368765752807,1.35883378091014,2.24456806411464,0.338177134606696,0.762551734983719,0.853948970850937,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0070","TPL_014","injected_rate_pulse","TPL_014_EVENT_008","none",128,130,48.8426435737272,49.0982490230745,3,4,0.255605449347268,0.0812613325571587,0.119136949509105,1.46609642938485,2.60876169778789,0.579617017119057,0.91365343095306,0.844445704875592,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0071","TPL_015","injected_rate_pulse","TPL_015_EVENT_001","none",9,14,1.33504514785735,1.58115479062918,6,7,0.246109642771827,0.038980899952678,0.145233934875914,3.72577172544054,3.87621052402557,0.474262878652723,0.391701405988524,3.51303839813339,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0072","TPL_015","injected_rate_pulse","TPL_015_EVENT_002","none",38,44,6.40365536498559,7.23377505402718,7,8,0.830119689041588,0.108474811277587,0.229009740797065,2.11117897417705,2.16395189035252,0.653958148695311,0.572598154601293,2.10461674871225,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0073","TPL_015","injected_rate_pulse","TPL_015_EVENT_003","none",85,91,17.5623086531861,18.0649034159375,7,8,0.502594762751432,0.0704082791297145,0.191446286002158,2.71908770344256,2.64927068520467,0.203371229868038,0.440358808058396,2.86976954131418,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0074","TPL_015","injected_rate_pulse","TPL_015_EVENT_006","none",125,132,37.9918707238056,38.4923926250809,8,9,0.500521901275276,0.0589221923566278,0.424235122912097,7.19992087776377,14.8991915874342,0.246765532362267,0.150247866758504,6.2341634237912,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0075","TPL_015","injected_rate_pulse","TPL_015_EVENT_007","none",134,139,39.0692060363279,39.7882420862499,6,7,0.719036049921949,0.117729159891917,0.357558207856276,3.03712528131974,2.95202073776048,0.405963408556701,0.42726130796482,2.95119231185262,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0076","TPL_016","injected_rate_pulse","TPL_016_EVENT_001","none",1,4,0,0.449402560370917,4,5,0.449402560370917,0.115074736158538,0.138723306899909,1.20550619128763,2.01842153717145,0.209374042061624,0.875484405100412,0.528440651955995,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0077","TPL_016","injected_rate_pulse","TPL_016_EVENT_002","none",6,10,0.991744402966405,1.66553514678518,5,6,0.673790743818778,0.124433551860098,0.115074736158538,0.924788647742835,1.32002264016871,0.373125951058013,1.32968422998523,-0.142738654589641,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0078","TPL_016","injected_rate_pulse","TPL_016_EVENT_003","none",32,37,5.38216299397219,5.74445214606845,6,7,0.362289152096265,0.0612297976430953,0.286005743743685,4.67102219430473,4.6619718854123,0.2391352980633,0.230925902309628,4.13653553437864,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0079","TPL_016","injected_rate_pulse","TPL_016_EVENT_005","none",63,65,18.5960014043941,18.8432688135622,3,4,0.247267409168054,0.0835474298699883,0.259469960607291,3.10566059316323,3.27977318016256,0.158832206623537,0.343898115216497,2.24386612403911,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0080","TPL_016","injected_rate_pulse","TPL_016_EVENT_007","none",98,105,31.6616837944492,32.0157711471587,8,9,0.354087352709465,0.043550637372515,0.254189995367719,5.83665385177899,6.49505920568907,0.178529715062381,0.174298455340404,5.43969885356289,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0081","TPL_017","injected_rate_pulse","TPL_017_EVENT_001","none",9,16,2.60040453604072,3.34885074072604,8,9,0.748446204685323,0.0963132991156275,0.259848195433175,2.69794719752273,2.6463502049684,0.267654315999485,0.411511834296965,3.0237189141015,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0082","TPL_017","injected_rate_pulse","TPL_017_EVENT_002","none",18,21,3.93144609783863,4.18280939148969,4,5,0.251363293651061,0.0593465872172246,0.20763734228136,3.49872422354046,10.1474118331248,0.20935548822574,0.333837708987025,3.06316591044074,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0083","TPL_017","injected_rate_pulse","TPL_017_EVENT_004","none",43,46,11.1219511378355,11.2602893601703,4,5,0.138338222334799,0.0325379332178131,0.193284234863944,5.94027388187426,5.72913405212178,0.268731015946173,0.203853687723961,3.97302847765336,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0084","TPL_017","injected_rate_pulse","TPL_017_EVENT_006","none",84,88,27.847025829603,28.0823669086885,5,6,0.235341079085539,0.0492399345671284,0.141383321426954,2.87131416135834,4.11609064566203,0.14899838365309,0.354822010610992,2.69736314193232,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0085","TPL_017","injected_rate_pulse","TPL_017_EVENT_007","none",104,110,31.4433852933381,32.2068558479158,7,8,0.763470554577719,0.119015463453603,0.237874549323844,1.998686073399,2.33824240352188,0.324566846870734,0.561304933782766,2.01204952870701,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0086","TPL_018","injected_rate_pulse","TPL_018_EVENT_001","none",26,28,3.96782248484295,4.257781590801,3,4,0.289959105958045,0.103829940997977,0.241408032848601,2.32503293874842,4.97761493990108,0.398270633538299,0.486486497950335,1.82280116191476,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0087","TPL_018","injected_rate_pulse","TPL_018_EVENT_003","none",43,48,18.1818783249648,18.7337206882789,6,7,0.55184236331411,0.0926004507469917,0.462628159123275,4.99596012105054,10.6446326234977,0.309658276217054,0.217469467246797,4.50061984867264,"clear_burst_like","none","injected_burst","eligible"
