"Template_ID","Component","Subtype","Regularity_Regime","Rate_Overlap_Stratum","Contains_Injected_Burst","Split"
"TPL_004","Broad_HFS","not_applicable","regular","core",TRUE,"development"
"TPL_005","Broad_HFS","not_applicable","regular","boundary",TRUE,"development"
"TPL_005","Broad_HFS","not_applicable","intermediate","deep",TRUE,"development"
"TPL_005","Broad_HFS","not_applicable","irregular","core",FALSE,"development"
"TPL_006","Broad_HFS","not_applicable","intermediate","core",FALSE,"holdout"
"TPL_006","Broad_HFS","not_applicable","irregular","boundary",TRUE,"holdout"
"TPL_006","Broad_HFS","not_applicable","regular","deep",TRUE,"holdout"
"TPL_007","Broad_HFS","not_applicable","intermediate","boundary",TRUE,"holdout"
"TPL_007","Broad_HFS","not_applicable","regular","core",FALSE,"holdout"
"TPL_007","Broad_HFS","not_applicable","irregular","deep",TRUE,"holdout"
"TPL_008","Broad_HFS","not_applicable","intermediate","deep",TRUE,"holdout"
"TPL_008","Broad_HFS","not_applicable","irregular","core",TRUE,"holdout"
"TPL_008","Broad_HFS","not_applicable","regular","boundary",FALSE,"holdout"
"TPL_009","Broad_HFS","not_applicable","irregular","boundary",TRUE,"holdout"
"TPL_009","Broad_HFS","not_applicable","intermediate","core",FALSE,"holdout"
"TPL_009","Broad_HFS","not_applicable","regular","deep",TRUE,"holdout"
"TPL_010","Broad_HFS","not_applicable","regular","core",FALSE,"holdout"
"TPL_010","Broad_HFS","not_applicable","intermediate","boundary",TRUE,"holdout"
"TPL_010","Broad_HFS","not_applicable","irregular","deep",TRUE,"holdout"
"TPL_011","Broad_HFS","not_applicable","intermediate","deep",TRUE,"holdout"
"TPL_011","Broad_HFS","not_applicable","regular","boundary",TRUE,"holdout"
"TPL_011","Broad_HFS","not_applicable","irregular","core",FALSE,"holdout"
"TPL_012","Broad_HFS","not_applicable","regular","deep",FALSE,"holdout"
"TPL_012","Broad_HFS","not_applicable","intermediate","core",TRUE,"holdout"
"TPL_012","Broad_HFS","not_applicable","irregular","boundary",TRUE,"holdout"
"TPL_013","Broad_HFS","not_applicable","irregular","deep",TRUE,"holdout"
"TPL_013","Broad_HFS","not_applicable","intermediate","boundary",FALSE,"holdout"
"TPL_013","Broad_HFS","not_applicable","regular","core",TRUE,"holdout"
"TPL_014","Broad_HFS","not_applicable","regular","boundary",TRUE,"holdout"
"TPL_014","Broad_HFS","not_applicable","intermediate","deep",TRUE,"holdout"
"TPL_014","Broad_HFS","not_applicable","irregular","core",FALSE,"holdout"
"TPL_015","Broad_HFS","not_applicable","irregular","boundary",TRUE,"holdout"
"TPL_015","Broad_HFS","not_applicable","intermediate","core",FALSE,"holdout"
"TPL_015","Broad_HFS","not_applicable","regular","deep",TRUE,"holdout"
"TPL_016","Broad_HFS","not_applicable","irregular","deep",FALSE,"holdout"
"TPL_016","Broad_HFS","not_applicable","regular","core",TRUE,"holdout"
"TPL_016","Broad_HFS","not_applicable","intermediate","boundary",TRUE,"holdout"
"TPL_017","Broad_HFS","not_applicable","irregular","core",TRUE,"holdout"
"TPL_017","Broad_HFS","not_applicable","regular","boundary",FALSE,"holdout"
"TPL_017","Broad_HFS","not_applicable","intermediate","deep",TRUE,"holdout"
"TPL_018","Broad_HFS","not_applicable","irregular","boundary",FALSE,"holdout"
"TPL_018","Broad_HFS","not_applicable","regular","deep",TRUE,"holdout"
"TPL_018","Broad_HFS","not_applicable","intermediate","core",TRUE,"holdout"
"TPL_019","Broad_HFS","not_applicable","irregular","deep",FALSE,"holdout"
"TPL_019","Broad_HFS","not_applicable","intermediate","boundary",TRUE,"holdout"
"TPL_019","Broad_HFS","not_applicable","regular","core",TRUE,"holdout"
"TPL_020","Broad_HFS","not_applicable","intermediate","deep",FALSE,"holdout"
"TPL_020","Broad_HFS","not_applicable","irregular","core",TRUE,"holdout"
"TPL_020","Broad_HFS","not_applicable","regular","boundary",TRUE,"holdout"
