"Burst_Quota_ID","Template_ID","Split","Burst_Slot","Context","Strength","HFS_Regime","HFS_Rate_Overlap_Stratum","Target_Spikes","Is_Four_Spike_Boundary"
"BQ_050","TPL_017","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",6,FALSE
"BQ_051","TPL_017","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",6,FALSE
"BQ_052","TPL_018","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",5,FALSE
"BQ_053","TPL_018","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",4,TRUE
"BQ_054","TPL_018","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",7,FALSE
"BQ_055","TPL_019","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",6,FALSE
"BQ_056","TPL_019","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",7,FALSE
"BQ_057","TPL_019","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",8,FALSE
"BQ_058","TPL_020","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",7,FALSE
"BQ_059","TPL_020","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",8,FALSE
"BQ_060","TPL_020","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",9,FALSE
"BQ_061","TPL_001","development","hfs_1","hfs","weak","regular","core",7,FALSE
"BQ_062","TPL_001","development","hfs_2","hfs","moderate","intermediate","boundary",8,FALSE
"BQ_063","TPL_002","development","hfs_1","hfs","weak","intermediate","deep",4,TRUE
"BQ_064","TPL_002","development","hfs_2","hfs","strong","irregular","core",9,FALSE
"BQ_065","TPL_003","development","hfs_1","hfs","moderate","irregular","boundary",4,TRUE
"BQ_066","TPL_003","development","hfs_2","hfs","strong","regular","deep",5,FALSE
"BQ_067","TPL_004","development","hfs_1","hfs","moderate","regular","core",9,FALSE
"BQ_068","TPL_004","development","hfs_2","hfs","weak","irregular","deep",8,FALSE
"BQ_069","TPL_005","development","hfs_1","hfs","strong","intermediate","deep",4,TRUE
"BQ_070","TPL_005","development","hfs_2","hfs","moderate","regular","boundary",5,FALSE
"BQ_071","TPL_006","holdout","hfs_1","hfs","weak","irregular","boundary",9,FALSE
"BQ_072","TPL_006","holdout","hfs_2","hfs","strong","regular","deep",6,FALSE
"BQ_073","TPL_007","holdout","hfs_1","hfs","weak","intermediate","boundary",5,FALSE
"BQ_074","TPL_007","holdout","hfs_2","hfs","moderate","irregular","deep",6,FALSE
"BQ_075","TPL_008","holdout","hfs_1","hfs","strong","intermediate","deep",7,FALSE
"BQ_076","TPL_008","holdout","hfs_2","hfs","moderate","irregular","core",4,TRUE
"BQ_077","TPL_009","holdout","hfs_1","hfs","weak","regular","deep",6,FALSE
"BQ_078","TPL_009","holdout","hfs_2","hfs","strong","irregular","boundary",8,FALSE
"BQ_079","TPL_010","holdout","hfs_1","hfs","moderate","intermediate","boundary",7,FALSE
"BQ_080","TPL_010","holdout","hfs_2","hfs","weak","irregular","deep",7,FALSE
"BQ_081","TPL_011","holdout","hfs_1","hfs","moderate","intermediate","deep",8,FALSE
"BQ_082","TPL_011","holdout","hfs_2","hfs","weak","regular","boundary",8,FALSE
"BQ_083","TPL_012","holdout","hfs_1","hfs","moderate","intermediate","core",9,FALSE
"BQ_084","TPL_012","holdout","hfs_2","hfs","strong","irregular","boundary",4,TRUE
"BQ_085","TPL_013","holdout","hfs_1","hfs","moderate","regular","core",5,FALSE
"BQ_086","TPL_013","holdout","hfs_2","hfs","strong","irregular","deep",9,FALSE
"BQ_087","TPL_014","holdout","hfs_1","hfs","strong","regular","boundary",5,FALSE
"BQ_088","TPL_014","holdout","hfs_2","hfs","weak","intermediate","deep",9,FALSE
"BQ_089","TPL_015","holdout","hfs_1","hfs","moderate","irregular","boundary",6,FALSE
"BQ_090","TPL_015","holdout","hfs_2","hfs","weak","regular","deep",5,FALSE
"BQ_091","TPL_016","holdout","hfs_1","hfs","weak","regular","core",4,TRUE
"BQ_092","TPL_016","holdout","hfs_2","hfs","strong","intermediate","boundary",6,FALSE
"BQ_093","TPL_017","holdout","hfs_1","hfs","strong","irregular","core",7,FALSE
"BQ_094","TPL_017","holdout","hfs_2","hfs","moderate","intermediate","deep",7,FALSE
"BQ_095","TPL_018","holdout","hfs_1","hfs","moderate","regular","deep",8,FALSE
"BQ_096","TPL_018","holdout","hfs_2","hfs","strong","intermediate","core",8,FALSE
"BQ_097","TPL_019","holdout","hfs_1","hfs","weak","intermediate","boundary",6,FALSE
"BQ_098","TPL_019","holdout","hfs_2","hfs","strong","regular","core",9,FALSE
"BQ_099","TPL_020","holdout","hfs_1","hfs","weak","irregular","core",7,FALSE
"BQ_100","TPL_020","holdout","hfs_2","hfs","moderate","regular","boundary",9,FALSE
