"Threshold_Set_ID","Threshold_Purpose","Phenotype_Null_Context","Phenotype_Null_Flank_Pattern","Phenotype_Null_Window_N_ISIs","Threshold_Name","Quantile","Evidence_Score","Null_Model","Calibration_Split","N_Null_Surrogates","Detector_Output_Used"
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N08","injected_support","standalone_burst","both_sides",8,"clear_lower",0.975,1.96230180567454,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N03","injected_support","standalone_burst","left_only",3,"ambiguous_lower",0.9,1.02708002156202,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N03","injected_support","standalone_burst","left_only",3,"clear_lower",0.975,1.71030621902938,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N04","injected_support","standalone_burst","left_only",4,"ambiguous_lower",0.9,1.09105679193445,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N04","injected_support","standalone_burst","left_only",4,"clear_lower",0.975,1.74442260794073,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N05","injected_support","standalone_burst","left_only",5,"ambiguous_lower",0.9,1.21412816815887,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N05","injected_support","standalone_burst","left_only",5,"clear_lower",0.975,1.80814185718308,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N06","injected_support","standalone_burst","left_only",6,"ambiguous_lower",0.9,1.23992264704444,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N06","injected_support","standalone_burst","left_only",6,"clear_lower",0.975,1.83583042585109,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N07","injected_support","standalone_burst","left_only",7,"ambiguous_lower",0.9,1.27138453656277,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N07","injected_support","standalone_burst","left_only",7,"clear_lower",0.975,1.91173825755542,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N08","injected_support","standalone_burst","left_only",8,"ambiguous_lower",0.9,1.26215048996871,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_LEFT_ONLY_N08","injected_support","standalone_burst","left_only",8,"clear_lower",0.975,1.93325852892813,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N03","injected_support","standalone_burst","right_only",3,"ambiguous_lower",0.9,1.30922978080401,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N03","injected_support","standalone_burst","right_only",3,"clear_lower",0.975,2.03264249045708,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N04","injected_support","standalone_burst","right_only",4,"ambiguous_lower",0.9,1.25623112129053,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N04","injected_support","standalone_burst","right_only",4,"clear_lower",0.975,2.15954842438273,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N05","injected_support","standalone_burst","right_only",5,"ambiguous_lower",0.9,1.38771846110649,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N05","injected_support","standalone_burst","right_only",5,"clear_lower",0.975,2.2885914388423,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N06","injected_support","standalone_burst","right_only",6,"ambiguous_lower",0.9,1.36219032424902,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N06","injected_support","standalone_burst","right_only",6,"clear_lower",0.975,2.1973892460566,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N07","injected_support","standalone_burst","right_only",7,"ambiguous_lower",0.9,1.63642830116539,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N07","injected_support","standalone_burst","right_only",7,"clear_lower",0.975,2.55999727802128,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N08","injected_support","standalone_burst","right_only",8,"ambiguous_lower",0.9,1.52778339546214,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_RIGHT_ONLY_N08","injected_support","standalone_burst","right_only",8,"clear_lower",0.975,2.33618752021752,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",NA,"ambiguous_lower",0.9,3.45739041588266,"shifted_gamma_HFS_max_window_score","development_only",1000,FALSE
"NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",NA,"clear_lower",0.975,4.28407186639376,"shifted_gamma_HFS_max_window_score","development_only",1000,FALSE
